fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
18059416106254723,"  Siempre Recomendaré K18 🖤 La mejor inversión luego de que dañas tu Cabello con Químicos 😵‍💫 K18 está clínicamente probado para revertir el daño en solo 4 minutos 🤩 Beneficios ✅ 🔱Revierte el Daño a nivel MOLECULAR. 🔱 Repara el daño causado por la decoloración, color, los servicios químicos y el calor. 🔱 Restaura la fuerza y suavidad 🔱 No se lava con shampoo, dejando resultados duraderos. 🔱 Vegano, seguro para el color, libre de crueldad. #k18 #cabellosano #beauty #cuidadocapilar #hair #mujeres #amorpropio #sephora #amazon #chilenaenusa🇨🇱🇺🇸","Siempre Recomendaré K18 La mejor inversión luego de que dañas tu Cabello con Químicos K18 está clínicamente probado para revertir el daño en solo 4 minutos Beneficios Revierte el Daño a nivel MOLECULAR. Repara el daño causado por la decoloración, color, los servicios químicos y el calor. Restaura la fuerza y suavidad No se lava con shampoo, dejando resultados duraderos. Vegano, seguro para el color, libre de crueldad.",2025-07-01 22:19:37,es,INSTAGRAM,k18|cabellosano|beauty|cuidadocapilar|hair|mujeres|amorpropio|sephora|amazon|chilenaenusa,,🇨🇱😵‍💫✅🇺🇸🤩🔱🖤,d5bbf637ca75782156d29de8fcabba34,,False,1,True,Influencer,Medium,False,"The comment displays strong promotional characteristics typical of an influencer post:
- Enthusiastic product recommendation
- Detailed product benefits
- Multiple brand-specific hashtags
- Mentions o",[],False,,,
1940352002179137718,"  @LizaRosen0000 @TamarSchwarcz @TamarSchwarcz For repairing straightened hair, try affordable iHerb options like Giovanni Smooth As Silk Shampoo and Conditioner ($10.99 each) or SheaMoisture Jamaican Black Castor Oil Treatment Masque ($11.17). These hydrate and strengthen damaged hair. For premium repair, K18…","For repairing straightened hair, try affordable iHerb options like Giovanni Smooth As Silk Shampoo and Conditioner ($10.99 each) or SheaMoisture Jamaican Black Castor Oil Treatment Masque ($11.17). These hydrate and strengthen damaged hair. For premium repair, K18…",2025-07-02 10:09:01,en,TWITTER,,LizaRosen0000|TamarSchwarcz|TamarSchwarcz,,30895ba9403be37b3d638037ac8fbdd2,,False,1,True,Influencer,Low,False,"The comment appears to be a soft promotional mention of K18 as a ""premium repair"" option after listing other hair repair products. While not overtly aggressive, it strategically introduces K18 as a hi",[],False,,,
17896040940128416,"  K18 Leave-In Molecular Hair Mask, Repairs Dry or Damaged Hair, Reverse Hair Damage from Bleach, Color, Chemical Services & Heat This leave-in treatment mask works on the molecular level to reverse hair damage in just 4 minutes. It tackles daily damage with immediate and lasting results to restore strength, softness, smoothness and bounce to hair GET HEALTHY HAIR TODAY https://amzn.to/4kmsgcu for direct product link click on my facebook link #hairmask #hairtips #hairproduct #hairideas #hairstyle #hairproducts #hairproductsthatwork #hairproductvendor #amazonbeauty #amazonbeautyfinds #amazonhairproducts #amazonfinds #amazonprime #amazondeals","K18 Leave-In Molecular Hair Mask, Repairs Dry or Damaged Hair, Reverse Hair Damage from Bleach, Color, Chemical Services & Heat This leave-in treatment mask works on the molecular level to reverse hair damage in just 4 minutes. It tackles daily damage with immediate and lasting results to restore strength, softness, smoothness and bounce to hair GET HEALTHY HAIR TODAY for direct product link click on my facebook link",2025-07-02 18:24:52,en,INSTAGRAM,hairmask|hairtips|hairproduct|hairideas|hairstyle|hairproducts|hairproductsthatwork|hairproductvendor|amazonbeauty|amazonbeautyfinds|amazonhairproducts|amazonfinds|amazonprime|amazondeals,,,1978190ae8c5369fdbca90daf0a0b110,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present, including:
- Direct Amazon affiliate link (amzn.to)
- Extensive product description with sales-oriented language
- Multiple marketing hashtags
- Explici",[],False,,,
S2X5ezoVmZ8,"  Let's talk BONDING TREATMENTS!! These are the TOP thing you should be doing for your hair, especially in 2025!! I'm talking, Olaplex, K18, Redken Bonding line and more! Keep watching to see how to use these and how they can help you reach your hair growth goals! Let's grow together!! Like! Subscribe! Comment - what's your hair type? What videos do you want to see next? PRE-ORDER MY NEW HAIR GROWTH BOOK 📚 - Grow & Glow: The ultimate guide to growing your hair and finding your inner glow ✨🙌: USA -  https://www.amazon.com/dp/B0F8FMFKNW UK - https://amzn.to/3S1SRzS. India - https://www.amazon.in/dp/B0F8FMFKNW DE - https://www.amazon.de/dp/B0F8FMFKNW Australia - https://www.amazon.com.au/dp/B0F8FMFKNW Available WORLDWIDE! Let's GROW our hair, and GLOW UP our lives together! ♥ BUY MY HAIRSTYLING BOOK?! - "" Curly Hairstyles of Curlstagram"" ➡️  https://amzn.to/3Rzfb4c ✨ MY  BRAND (HEADCHIE) BONNETS & SCRUNCHIES: Satin Hair Accessories by Lana Summer - https://curlfully.com/ SOCIAL MEDIA: My Instagram -  www.instagram.com/lanasummer TikTok -   / www.tiktok.com/@lanasummerx ITEMS MENTIONED: - Olaplex No.3 - https://bit.ly/3GmA7Zv 🇺🇸 ///// https://bit.ly/3ZYVUgr - K18 Leave-in Molecular Repair - https://bit.ly/44r9jiz 🇺🇸 ////// https://bit.ly/3TOGMi7 MUSIC: Ending Music by Insta Models - Do It Like You - https://thmatc.co/?l=7EE855B0 TAGS: curly hair, lana summer, Curly hair routine, long curly hair, big curly hair, healthy curly hair, shiny curly hair, shiny curls, perfect curls, wash routine, how to style curly hair, curly, hair, sayria, summer, morning routine, glow up, before and after, curly hairstyles, curly girl approved ,curly girl method, step by step, how to get long hair, how to grow your hair, long hair fast, inches, curly hair growth tips, hair growth tips, good hair care habits, get long hair","Let's talk BONDING TREATMENTS!! These are the TOP thing you should be doing for your hair, especially in 2025!! I'm talking, Olaplex, K18, Redken Bonding line and more! Keep watching to see how to use these and how they can help you reach your hair growth goals! Let's grow together!! Like! Subscribe! Comment - what's your hair type? What videos do you want to see next? PRE-ORDER MY NEW HAIR GROWTH BOOK - Grow & Glow: The ultimate guide to growing your hair and finding your inner glow : USA - UK - India - DE - Australia - Available WORLDWIDE! Let's GROW our hair, and GLOW UP our lives together! BUY MY HAIRSTYLING BOOK?! - "" Curly Hairstyles of Curlstagram"" MY BRAND (HEADCHIE) BONNETS & SCRUNCHIES: Satin Hair Accessories by Lana Summer - SOCIAL MEDIA: My Instagram - www.instagram.com/lanasummer TikTok - / www.tiktok.com/ ITEMS MENTIONED: - Olaplex No.3 - ///// - K18 Leave-in Molecular Repair - ////// MUSIC: Ending Music by Insta Models - Do It Like You - TAGS: curly hair, lana summer, Curly hair routine, long curly hair, big curly hair, healthy curly hair, shiny curly hair, shiny curls, perfect curls, wash routine, how to style curly hair, curly, hair, sayria, summer, morning routine, glow up, before and after, curly hairstyles, curly girl approved ,curly girl method, step by step, how to get long hair, how to grow your hair, long hair fast, inches, curly hair growth tips, hair growth tips, good hair care habits, get long hair",2025-07-04 13:00:57,en,YOUTUBE,,lanasummerx,➡️🇺🇸📚🙌♥✨,222b4175e3e9e8a729121c31069fc34e,,False,1,True,Influencer,High,True,"Multiple strong promotional indicators present:
- Multiple affiliate links (Amazon, bit.ly)
- Direct product links for K18, Olaplex
- Call-to-action phrases: ""Like! Subscribe!""
- Book pre-order links
",[],False,,,
3bac1c24b0d64b741fe00ccce7adcd87,"  When Wally and Dave are about to interrupt into the home of one thousand windows, Dave is carrying a giant log and as he swings it all-around, Wally moves his head as if frightened to obtain strike by it. Wally is blind, so he would not have noticed it. The very best time and energy to visit Dunapataj is in the course of the spring and autumn months, if the weather conditions is moderate, plus the purely natural scenery is at its most vivid. The background of Kiskőrös dates back again towards the medieval period of time when it had been established as a small settlement. Around the generations, the city developed, encountering many influences from various cultures and eras. The nineteenth century marked a substantial time period for Kiskőrös, significantly While using the birth of Sándor Petőfi in 1823. A lovely father daughter appreciate story about loneliness and id. Hailed as the most beneficial illustration of Hollywood actors. Beware this is not really for individuals who fall asleep through movies. This has a truly outstanding finale. Necessary viewing for all those wishing to explore the arthouse style. With an intensive idea of the bugs and challenges With all the consumer encounter on each site, as well as strengths and most widely used factors on the person interface disclosed, it can be the perfect time to look at the conversion read more funnel. In any case, this is how visitors, qualified prospects, and potential prospects will come upon our website. four. Like the hell from it. You're not doing this to higher you. You're doing it for Pleasure. Reading is magic, as well as the magic will transform almost everything else in your daily life. Enjoy the practical experience, therefore you'll sit up for it everyday. - Handicrafts: Uncover locally manufactured crafts, Specially pottery and textiles, that reflect the town's artisanal traditions. - Pure attractiveness: Enjoy the serene parks and inexperienced Areas that give a excellent backdrop for leisure and recreation.The local community is recognized for its hospitality, generating visitors come to feel welcome and in the home. With its blend of tradition and modernity, Kiskunhalas is a pleasant destination for all those looking for an reliable Hungarian encounter. The seven Rules are well-founded and broadly acknowledged although not static. Depart No Trace continually examines, evaluates, and reshapes the Rules and conducts study in order that They're current with the most recent insights from biologists, land administrators, together with other leaders in out of doors schooling. Principle one This isn't a sample for folks new double knitters but it really's unquestionably definitely worth the effort and time. 知乎，让每一次点击都充满意义 —— 欢迎来到知乎，发现问题背后的世界。 If you want introducing a bit of colorwork to normally basic initiatives that other people have made, otherwise you're ready to get started on creating your personal types with exciting motifs, this e-book is an excellent position to begin. Historic records show which the village has become a component of varied cultural and political variations all over Hungary's tumultuous heritage. This abundant earlier is mirrored while in the area architecture and traditions that continue to prosper currently. But a few Lawyers who regularly visit the power explained their clients have consistently described sleeping on floors or in plastic containers fitted with skinny mats. — With salon visits on pause, at-household treatment entered a new era—and with it, brands like Olaplex and K18 turned household names. —","When Wally and Dave are about to interrupt into the home of one thousand windows, Dave is carrying a giant log and as he swings it all-around, Wally moves his head as if frightened to obtain strike by it. Wally is blind, so he would not have noticed it. The very best time and energy to visit Dunapataj is in the course of the spring and autumn months, if the weather conditions is moderate, plus the purely natural scenery is at its most vivid. The background of Kiskőrös dates back again towards the medieval period of time when it had been established as a small settlement. Around the generations, the city developed, encountering many influences from various cultures and eras. The nineteenth century marked a substantial time period for Kiskőrös, significantly While using the birth of Sándor Petőfi in 1823. A lovely father daughter appreciate story about loneliness and id. Hailed as the most beneficial illustration of Hollywood actors. Beware this is not really for individuals who fall asleep through movies. This has a truly outstanding finale. Necessary viewing for all those wishing to explore the arthouse style. With an intensive idea of the bugs and challenges With all the consumer encounter on each site, as well as strengths and most widely used factors on the person interface disclosed, it can be the perfect time to look at the conversion read more funnel. In any case, this is how visitors, qualified prospects, and potential prospects will come upon our website. four. Like the hell from it. You're not doing this to higher you. You're doing it for Pleasure. Reading is magic, as well as the magic will transform almost everything else in your daily life. Enjoy the practical experience, therefore you'll sit up for it everyday. - Handicrafts: Uncover locally manufactured crafts, Specially pottery and textiles, that reflect the town's artisanal traditions. - Pure attractiveness: Enjoy the serene parks and inexperienced Areas that give a excellent backdrop for leisure and recreation.The local community is recognized for its hospitality, generating visitors come to feel welcome and in the home. With its blend of tradition and modernity, Kiskunhalas is a pleasant destination for all those looking for an reliable Hungarian encounter. The seven Rules are well-founded and broadly acknowledged although not static. Depart No Trace continually examines, evaluates, and reshapes the Rules and conducts study in order that They're current with the most recent insights from biologists, land administrators, together with other leaders in out of doors schooling. Principle one This isn't a sample for folks new double knitters but it really's unquestionably definitely worth the effort and time. 知乎，让每一次点击都充满意义 —— 欢迎来到知乎，发现问题背后的世界。 If you want introducing a bit of colorwork to normally basic initiatives that other people have made, otherwise you're ready to get started on creating your personal types with exciting motifs, this e-book is an excellent position to begin. Historic records show which the village has become a component of varied cultural and political variations all over Hungary's tumultuous heritage. This abundant earlier is mirrored while in the area architecture and traditions that continue to prosper currently. But a few Lawyers who regularly visit the power explained their clients have consistently described sleeping on floors or in plastic containers fitted with skinny mats. — With salon visits on pause, at-household treatment entered a new era—and with it, brands like Olaplex and K18 turned household names. —",2025-07-04 13:05:00,en,WEB,,,,db118a14612ac5e90b9dc5a5399a5df0,,False,1,True,Influencer,Low,False,"While most of the comment is unrelated text, there is a specific promotional mention of K18 in the parenthetical statement:
""— With salon visits on pause, at-home care entered a new era—and with it, b",[],False,,,
18005270051786779,  Had to show the girls a healthy hair routine you can follow 👌🏾🔥 I love resetting my curls with all things K18 especially because their products are biotech backed —BEST PART!??? : they are all available on Amazon. K18hair ALL 🔗'd IN MY amazon STOREFRONT! #K18results #k18partner #hairdetox #hairtransformation #hairtutorial #primeday #amazonfind,Had to show the girls a healthy hair routine you can follow I love resetting my curls with all things K18 especially because their products are biotech backed —BEST PART!??? : they are all available on Amazon. K18hair ALL 'd IN MY amazon STOREFRONT!,2025-07-07 19:15:38,en,INSTAGRAM,K18results|k18partner|hairdetox|hairtransformation|hairtutorial|primeday|amazonfind,,👌🏾🔥🔗,68cfd0b97c271c8028d8f4752e849d9b,,False,1,True,Influencer,High,True,"Multiple strong promotional indicators present, including:
- Explicit affiliate marketing mention (""ALL 🔗'd IN MY amazon STOREFRONT!"")
- Multiple branded hashtags (#K18partner, #K18results)
- Direct p","['#K18partner', '#K18results']",False,,,
mov_ADE139FEA9658BDB354CF33183793395,"  Snag rare beauty steals on top brands, including EltaMD, Elemis, Amika, and K18 only for Prime Day! Amazon Prime Day 2025 is here! And with it come incredible deals on rarely discounted, must-have beauty products for your skin and hair. That means it's time to treat yourself! It's the perfect moment to replenish your skincare stash, stock up on your favorite hair goodies, or finally try that brand you've been eyeing, because yep, it's all on sale now. We've found amazing deals on EltaMD sunscreen, exactly what your pretty face needs to stay protected this summer. Snag discounts on a tinted SPF and a clear, no-white-cast option that won't mess with your glow. Melt away full retail prices (and your stubborn waterproof makeup) with the seriously dreamy Elemis cleansing balm. Brighten your skin with a juicy guava Glow Recipe duo, and breathe new life into your hair with the repairing magic of K18 hair oil. And that's not all. We found can't-miss deals on Biossance, Drybar hair tools, hair perfume from Gisou, and way more. It's only day one of Prime Day, but trust us, these deals won't stick around. Hurry and snag your faves below before they're gone! EltaMD UV Daily SPF 40 Tinted Face Sunscreen Moisturizer EltaMD's bestselling UV Daily SPF 40 tinted face sunscreen moisturizer is a whopping 20% off for Prime Day. This non-greasy daily face sunscreen is designed to rub in easily, leave no white cast, and can be worn alone or under makeup. Choose from untinted, two tinted shades, and an untinted shade for deeper skin tones. EltaMD UV Clear Face Sunscreen SPF 46 Don't be afraid of sunscreen just because you have acne-prone skin. EltaMD UV Clear Face sunscreen was made with acne-prone skin in mind! This luxe skincare must-have is an oil free sunscreen made with Zinc Oxide. The lightweight and silky formula is designed to help calm and protect sensitive skin types prone to acne, rosacea and discoloration. Drybar Blow-Dryer Triple Shot Get the hair of your dreams, for less! Drybar's signature Triple Shot dryer is 20% off for Amazon Prime Day. Create smooth strands, defined curls and waves, or add tons of volume and shine with three interchangeable brush and dryer heads. BIOSSANCE Squalane and Marine Algae Eye Cream This bestselling Biossance eye cream is 30% off for Amazon Prime Day! It's designed to hydrate, smooth fine lines, reduce puffiness, and firm the skin for a youthful, refreshed look. BIOSSANCE 100% Squalane Oil Squalane oil is the beauty buzzword of 2025. The ingredient is bioidentical to the moisture found in human skin. Biossance's vegan squalane oil is designed to instantly hydrate your face and lock in moisture. It also helps other ingredients absorb better and can support a healthy skin microbiome. It's 30% off now! K18 Molecular Repair Hair Oil Want 25% off a cult-favorite K18 hair oil? Now's your chance! This oil is designed to strengthen, repair damage, and improve shine. It offers 24-hour frizz control and up to 450-degree heat protection. Tatcha Mini Favorites Set Ever wished you could try all the best Tatcha products without spending a bundle? Now you can! The Tatcha Mini Favorites set comes with travel-size versions of the Camellia Cleansing Oil, the Rice Wash, the Matcha Cleanse, the Essence, and the Water Cream. Get it now for 30% off! Gisou Honey Infused Hair Perfume Make your hair smell really, really good with Gisou's honey-infused hair perfume. This floral-scented hair perfume is enriched with honey, a natural humectant that helps maintain the hair's moisture balance, resulting in smooth, luminous, and silky-shiny locks. Get it for 25% off now! Farmacy Makeup Remover Cleansing Balm...","Snag rare beauty steals on top brands, including EltaMD, Elemis, Amika, and K18 only for Prime Day! Amazon Prime Day 2025 is here! And with it come incredible deals on rarely discounted, must-have beauty products for your skin and hair. That means it's time to treat yourself! It's the perfect moment to replenish your skincare stash, stock up on your favorite hair goodies, or finally try that brand you've been eyeing, because yep, it's all on sale now. We've found amazing deals on EltaMD sunscreen, exactly what your pretty face needs to stay protected this summer. Snag discounts on a tinted SPF and a clear, no-white-cast option that won't mess with your glow. Melt away full retail prices (and your stubborn waterproof makeup) with the seriously dreamy Elemis cleansing balm. Brighten your skin with a juicy guava Glow Recipe duo, and breathe new life into your hair with the repairing magic of K18 hair oil. And that's not all. We found can't-miss deals on Biossance, Drybar hair tools, hair perfume from Gisou, and way more. It's only day one of Prime Day, but trust us, these deals won't stick around. Hurry and snag your faves below before they're gone! EltaMD UV Daily SPF 40 Tinted Face Sunscreen Moisturizer EltaMD's bestselling UV Daily SPF 40 tinted face sunscreen moisturizer is a whopping 20% off for Prime Day. This non-greasy daily face sunscreen is designed to rub in easily, leave no white cast, and can be worn alone or under makeup. Choose from untinted, two tinted shades, and an untinted shade for deeper skin tones. EltaMD UV Clear Face Sunscreen SPF 46 Don't be afraid of sunscreen just because you have acne-prone skin. EltaMD UV Clear Face sunscreen was made with acne-prone skin in mind! This luxe skincare must-have is an oil free sunscreen made with Zinc Oxide. The lightweight and silky formula is designed to help calm and protect sensitive skin types prone to acne, rosacea and discoloration. Drybar Blow-Dryer Triple Shot Get the hair of your dreams, for less! Drybar's signature Triple Shot dryer is 20% off for Amazon Prime Day. Create smooth strands, defined curls and waves, or add tons of volume and shine with three interchangeable brush and dryer heads. BIOSSANCE Squalane and Marine Algae Eye Cream This bestselling Biossance eye cream is 30% off for Amazon Prime Day! It's designed to hydrate, smooth fine lines, reduce puffiness, and firm the skin for a youthful, refreshed look. BIOSSANCE 100% Squalane Oil Squalane oil is the beauty buzzword of 2025. The ingredient is bioidentical to the moisture found in human skin. Biossance's vegan squalane oil is designed to instantly hydrate your face and lock in moisture. It also helps other ingredients absorb better and can support a healthy skin microbiome. It's 30% off now! K18 Molecular Repair Hair Oil Want 25% off a cult-favorite K18 hair oil? Now's your chance! This oil is designed to strengthen, repair damage, and improve shine. It offers 24-hour frizz control and up to 450-degree heat protection. Tatcha Mini Favorites Set Ever wished you could try all the best Tatcha products without spending a bundle? Now you can! The Tatcha Mini Favorites set comes with travel-size versions of the Camellia Cleansing Oil, the Rice Wash, the Matcha Cleanse, the Essence, and the Water Cream. Get it now for 30% off! Gisou Honey Infused Hair Perfume Make your hair smell really, really good with Gisou's honey-infused hair perfume. This floral-scented hair perfume is enriched with honey, a natural humectant that helps maintain the hair's moisture balance, resulting in smooth, luminous, and silky-shiny locks. Get it for 25% off now! Farmacy Makeup Remover Cleansing Balm...",2025-07-08 12:00:00,en,WEB,,,,9d8e23e26b20b6d7823dedd6558cc936,,False,1,True,Affiliate,High,False,"This is a detailed promotional piece disguised as a product roundup, specifically highlighting Amazon Prime Day deals. The content includes multiple brand mentions, specific product details, pricing, ",[],False,,,
1942554838002262374,"  K18, Drybar, EltaMD, and More Brands That Rarely Go On Sale Are Finally on Amazon Prime Day https://t.co/iNxEcQ6iVJ","K18, Drybar, EltaMD, and More Brands That Rarely Go On Sale Are Finally on Amazon Prime Day",2025-07-08 12:02:18,en,TWITTER,,,,07e8f859d64325389c09fbad51627c3d,cluster_4,True,2,True,Affiliate,Medium,True,"- Contains a shortened URL (potentially an affiliate tracking link)
- Mentions multiple brands in context of Amazon Prime Day sale
- Appears to be a curated product recommendation with commercial inte",[],False,,,
1942561862354129162,"  K18, Drybar, EltaMD, and More Brands That Rarely Go On Sale Are Finally on Amazon Prime Day https://t.co/6O5haKs5tK","K18, Drybar, EltaMD, and More Brands That Rarely Go On Sale Are Finally on Amazon Prime Day",2025-07-08 12:30:13,en,TWITTER,,,,07e8f859d64325389c09fbad51627c3d,cluster_4,False,2,True,Affiliate,Medium,True,"- Contains a shortened URL (potentially an affiliate tracking link)
- Mentions multiple brands in context of Amazon Prime Day sale
- Appears to be a curated product recommendation with commercial inte",[],True,True,Medium,1.8005266189575195
18173115262337069,"  Aprovecha nuestras grandes ofertas en surtido de litros de shampoos y acondicionadores. Amika, Paul Mitchelle, Rusk, Olaplex, K18, María Nila, Kenra, Wella, Sebastian, Malibú, CHI, aquage y Bead Head. Oferta disponible durante todo el mes de julio🤗. #cosmoprofpuertorico #cosmoprofcaguas #estilistas #barberias #cabello #shampoo #acondicionadores #ofertas #caguas #plazacentro #estilistascaguas","Aprovecha nuestras grandes ofertas en surtido de litros de shampoos y acondicionadores. Amika, Paul Mitchelle, Rusk, Olaplex, K18, María Nila, Kenra, Wella, Sebastian, Malibú, CHI, aquage y Bead Head. Oferta disponible durante todo el mes de julio.",2025-07-09 15:28:05,es,INSTAGRAM,cosmoprofpuertorico|cosmoprofcaguas|estilistas|barberias|cabello|shampoo|acondicionadores|ofertas|caguas|plazacentro|estilistascaguas,,🤗,5c3723aeccee6f52cde2e6367cf62bba,,False,1,True,Affiliate,Medium,False,"- Contains multiple brand names in a sales-oriented product listing
- Mentions specific product category (shampoos, conditioners)
- Includes sales-related language about offers/promotions
- Specifies ",[],False,,,
