fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1939869862429696520,"  #ad #Amazon: Spend $30,save 15% on new releases from Maybelline, L'Oréal Paris, and NYX Professional #Makeup https://t.co/rItoJS5UH4 https://t.co/1biU3dGiQ2",": Spend $30,save 15% on new releases from Maybelline, L'Oréal Paris, and NYX Professional",2025-07-01 02:13:10,en,TWITTER,ad|Amazon|Makeup,,,d99333bbef20c1a475ae78507721ed91,,False,1,True,Affiliate,Medium,True,"- Contains explicit #ad disclosure
- Promotes multiple brands with a direct purchase incentive
- Includes Amazon link suggesting affiliate marketing
- Highlights a specific sales promotion (15% off)
-","['- #ad', '- #Amazon', '- ""Spend']",False,,,
1939872463061414283,  LOS PRIMEROS LIPOILS DEL MERCADO🔥 Brillo Labial Fat Oil Nyx Professional Makeup Color NEWS FEED Link MercadoLibre: https://t.co/aUXWfAiCX4 💋Precio Original: $289 💋Precio Oferta: $192 ⚡️Únete a nuestros otros grupos: https://t.co/hDwlFEz4oK #Belleza #OfertasMercadoLibre… https://t.co/xaUXDV8hIQ,LOS PRIMEROS LIPOILS DEL MERCADO Brillo Labial Fat Oil Nyx Professional Makeup Color NEWS FEED Link MercadoLibre: Precio Original: $289 Precio Oferta: $192 Únete a nuestros otros grupos: …,2025-07-01 02:23:30,es,TWITTER,Belleza|OfertasMercadoLibre,,💋🔥⚡,9b53b0ecfcb7e23187de25bba42c7782,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Direct product link to MercadoLibre (sales link)
- Explicit pricing details (",[],False,,,
1939877578271068498,  LOGRA UN LOOK DE CEJAS ORGANICO🔥 NYX Professional Makeup The Brow Glue 5g Tono Transparente Gel fijador de cejas 16 horas sin residuos Link MercadoLibre: https://t.co/bY8NqjcFyl 💋Precio Original: $219 💋Precio Oferta: $127 ⚡️Únete a nuestros otros grupos: … https://t.co/jwFQGjvAUQ,LOGRA UN LOOK DE CEJAS ORGANICO NYX Professional Makeup The Brow Glue 5g Tono Transparente Gel fijador de cejas 16 horas sin residuos Link MercadoLibre: Precio Original: $219 Precio Oferta: $127 Únete a nuestros otros grupos: …,2025-07-01 02:43:50,es,TWITTER,,,💋🔥⚡,914d1f57a2e0e9de91e3d3ba7d14cc51,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Specific product details (NYX The Brow Glue)
- Direct product link to MercadoLibre
- Price comparison (original vs. offer price)
- Call to action with",[],False,,,
1939887617106944087,  CORRECTOR DE OJERAS EN SERUM DE NYX🔥 Nyx Cosmetics Bare With Me suero corrector tono Beige 9.6 mL Link MercadoLibre: https://t.co/ec7Kju7EUj 💋Precio Original: $399 💋Precio Oferta: $265 ⚡️Únete a nuestros otros grupos: https://t.co/hDwlFEz4oK #Belleza #OfertasMercadoLibr… https://t.co/s3LC86qOTc,CORRECTOR DE OJERAS EN SERUM DE NYX Nyx Cosmetics Bare With Me suero corrector tono Beige 9.6 mL Link MercadoLibre: Precio Original: $399 Precio Oferta: $265 Únete a nuestros otros grupos: …,2025-07-01 03:23:43,es,TWITTER,Belleza|OfertasMercadoLibr,,💋🔥⚡,7977d2e8854aef70062bfc90c6d0bcaf,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Direct product link to MercadoLibre (commercial link)
- Specific product details (NYX Bare With Me serum corrector)
- Price comparison (original vs. o",[],False,,,
1939994956740829488,"  SPR_COMBO[it]🚀 NYX Professional Makeup Studio Perfect Primer - Base per makeup, Incarnato uniforme, Minimizza l'aspetto delle rughe sottili e dei pori dilatati 🌍 https://t.co/5fGBw57GWz 💰 A soli 13,99 ✅ Venduto da Amazon e Spedito da Amazon ⭐️⭐️⭐️⭐️ 4.20 / 5.00 stelle su 15,617 recen… https://t.co/gxkJyFdCiX","SPR_COMBO[it] NYX Professional Makeup Studio Perfect Primer - Base per makeup, Incarnato uniforme, Minimizza l'aspetto delle rughe sottili e dei pori dilatati A soli 13,99 Venduto da Amazon e Spedito da Amazon 4.20 / 5.00 stelle su 15,617 recen…",2025-07-01 10:30:15,it,TWITTER,,,⭐🚀✅💰🌍,07e6d0c49a900a5c04242e51e84a7d0d,,False,1,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Direct product link to Amazon purchase
- Specific product details (NYX Professional Makeup Studio Perfect Primer)
- Price point highlight",[],False,,,
18463132849075355,  NYX The Brow Glue – Instant Brow Styler nyxcosmetics nyxcosmetics_canada Price: Approx. $10.99 – $12.99 CAD Available at: •Shoppers Drug Mart shoppersbeauty •Walmart walmartcanada •Amazon Canada amazonca •NYX Cosmetics Official #nyx #shoppersbeauty #amazon #walmart #fypシ #scarborough #foryoupage #GlowwithsoBi,NYX The Brow Glue – Instant Brow Styler nyxcosmetics nyxcosmetics_canada Price: Approx. $10.99 – $12.99 CAD Available at: •Shoppers Drug Mart shoppersbeauty •Walmart walmartcanada •Amazon Canada amazonca •NYX Cosmetics Official,2025-07-01 14:03:54,en,INSTAGRAM,nyx|shoppersbeauty|amazon|walmart|fypシ|scarborough|foryoupage|GlowwithsoBi,,,49d7a7e8d34ed79cc24402fdf54201f9,cluster_22,True,2,True,Influencer,Medium,False,"The comment contains multiple strong promotional indicators:
- Specific product mention (NYX The Brow Glue)
- Exact price range
- Multiple retail locations listed
- Multiple branded hashtags (#nyx, #s","['- Product-specific: ""NYX The Brow Glue""', '""Instant Brow Styler""', '- Retail hashtags: #shoppersbeauty #amazon #walmart', '- Trend hashtags: #fypシ #foryoupage', '- Pricing details: ""']",False,,,
17926741086086109,  NYX The Brow Glue – Instant Brow Styler nyxcosmetics nyxcosmetics_canada Price: Approx. $10.99 – $12.99 CAD Available at: •Shoppers Drug Mart shoppersbeauty •Walmart walmartcanada •Amazon Canada amazonca •NYX Cosmetics Official #nyx #shoppersbeauty #amazon #walmart #fypシ #scarborough #foryoupage #GlowwithsoBi,NYX The Brow Glue – Instant Brow Styler nyxcosmetics nyxcosmetics_canada Price: Approx. $10.99 – $12.99 CAD Available at: •Shoppers Drug Mart shoppersbeauty •Walmart walmartcanada •Amazon Canada amazonca •NYX Cosmetics Official,2025-07-01 14:07:07,en,INSTAGRAM,nyx|shoppersbeauty|amazon|walmart|fypシ|scarborough|foryoupage|GlowwithsoBi,,,49d7a7e8d34ed79cc24402fdf54201f9,cluster_22,False,2,True,Influencer,Medium,False,"The comment contains multiple strong promotional indicators:
- Specific product mention (NYX The Brow Glue)
- Exact price range
- Multiple retail locations listed
- Multiple branded hashtags (#nyx, #s","['- Product-specific: ""NYX The Brow Glue""', '""Instant Brow Styler""', '- Retail hashtags: #shoppersbeauty #amazon #walmart', '- Trend hashtags: #fypシ #foryoupage', '- Pricing details: ""']",True,True,Medium,2.7804884910583496
1940052122331971666,  Some girl said her makeup didn't budge in 38° heat with that nyx setting spray yeah it's on sale on amazon rn,Some girl said her makeup didn't budge in 38° heat with that nyx setting spray yeah it's on sale on amazon rn,2025-07-01 14:17:25,en,TWITTER,,,,b2b923cc244c45876c08128c037f3fe8,,False,1,True,Affiliate,Medium,False,"The comment contains several promotional indicators:
- Mentions a product (NYX setting spray) in context of a sale
- Directly references current sale on Amazon
- Implies purchasing recommendation
- So",[],False,,,
mov_17B7750B916D372D2A042B9FC5F00804,"  SPR_COMBO[it]Diventa tester Lancome, CeraVe, La Roche-Posay, Redken… (Luglio 2025) 1 Luglio 2025 0 Facebook
WhatsApp
Twitter
Telegram
Email
Print
Quale delle 2 Beauty Box scegli? Diventa tester e ricevi gratis prodotti Lancome, CeraVe, La Roche-Posay, Redken, Nyx, Matrix, Kiehl's! Scopriamo come candidarsi. Clicca l'immagine sottostante per collegarti con la pagina del progetto ufficiale Test&Tell luglio 2025. Dopodiché semplicemente compila il modulo di candidatura con i tuoi dati e scegli uno dei due box che vorresti ricevere gratuitamente a casa da provare: BOX 1 Face Foaming Cleansing Gel di CeraVe Toleraine Acqua Micellare Pelle Reattiva di La Roche Posay ACG Naked Gloss Oil di Redken Liquid Eyeliner di NYX Professional Makeup BOX 2 Face Foaming Cleansing Calendula di Kiehl's Bi-Facil Struccante di Lancôme Food For Soft Oil Serum di Matrix Fat Oil Lipstick di NYX Professional Makeup Tra tutte le partecipanti saranno scelte 50 tester (25 per ciascuna box), che verranno prima informate via email dell'avvenuta selezione dopodiché, in cambio di una sincera opinione (da esprimere mediante un questionario o una recensione), riceveranno il prodotto. Le candidature saranno aperte dal 30 giugno al 20 luglio 2025. Puoi anche:
guadagnare 100€ in buoni Amazon con l'app di Nielsen (testata da 10 anni da noi, sicura e pagante).
guadagnare premi di valore (TV, elettrodomestici...) scansionando la tua spesa in un qualsiasi supermercato;
guardare la nostra sezione dedicata Diventa Tester (sempre aggiornata) e verificare se hai sottoposto la candidatura a tutti i progetti attivi;
TAGScosmetici gratisdiventare tester prodotti scontOmaggio Articoli correlatiDi più dello stesso autore Campioni omaggio Diventa tester mascara Lord&Berry Splashproof Waterproof Campioni omaggio Campioni omaggio Vichy Minéral 89 Booster Campioni omaggio Campioni omaggio siero La Roche-Posay Mela B3 Campioni omaggio Diventa tester MammaCheApp… GRATIS la MammacheValigiaParto Campioni omaggio Diventa tester “Libri in Musica – Leggi e Ascolta” con Whiskey il Ragnetto, Unicorni Magici e Trattori Impazziti! Concorsi con acquisto Concorso Make-up Maybelline… in palio 10 iPhone 16 128 gb","SPR_COMBO[it]Diventa tester Lancome, CeraVe, La Roche-Posay, Redken… (Luglio 2025) 1 Luglio 2025 0 Facebook WhatsApp Twitter Telegram Email Print Quale delle 2 Beauty Box scegli? Diventa tester e ricevi gratis prodotti Lancome, CeraVe, La Roche-Posay, Redken, Nyx, Matrix, Kiehl's! Scopriamo come candidarsi. Clicca l'immagine sottostante per collegarti con la pagina del progetto ufficiale Test&Tell luglio 2025. Dopodiché semplicemente compila il modulo di candidatura con i tuoi dati e scegli uno dei due box che vorresti ricevere gratuitamente a casa da provare: BOX 1 Face Foaming Cleansing Gel di CeraVe Toleraine Acqua Micellare Pelle Reattiva di La Roche Posay ACG Naked Gloss Oil di Redken Liquid Eyeliner di NYX Professional Makeup BOX 2 Face Foaming Cleansing Calendula di Kiehl's Bi-Facil Struccante di Lancôme Food For Soft Oil Serum di Matrix Fat Oil Lipstick di NYX Professional Makeup Tra tutte le partecipanti saranno scelte 50 tester (25 per ciascuna box), che verranno prima informate via email dell'avvenuta selezione dopodiché, in cambio di una sincera opinione (da esprimere mediante un questionario o una recensione), riceveranno il prodotto. Le candidature saranno aperte dal 30 giugno al 20 luglio 2025. Puoi anche: guadagnare 100€ in buoni Amazon con l'app di Nielsen (testata da 10 anni da noi, sicura e pagante). guadagnare premi di valore (TV, elettrodomestici...) scansionando la tua spesa in un qualsiasi supermercato; guardare la nostra sezione dedicata Diventa Tester (sempre aggiornata) e verificare se hai sottoposto la candidatura a tutti i progetti attivi; TAGScosmetici gratisdiventare tester prodotti scontOmaggio Articoli correlatiDi più dello stesso autore Campioni omaggio Diventa tester mascara Lord&Berry Splashproof Waterproof Campioni omaggio Campioni omaggio Vichy Minéral 89 Booster Campioni omaggio Campioni omaggio siero La Roche-Posay Mela B3 Campioni omaggio Diventa tester MammaCheApp… GRATIS la MammacheValigiaParto Campioni omaggio Diventa tester “Libri in Musica – Leggi e Ascolta” con Whiskey il Ragnetto, Unicorni Magici e Trattori Impazziti! Concorsi con acquisto Concorso Make-up Maybelline… in palio 10 iPhone 16 128 gb",2025-07-01 15:05:57,it,WEB,,,,d0c964f38dfdc975ea3d3584bd102f1e,,False,1,True,UGC_Campaign,High,False,"- Detailed product testing/sampling campaign for multiple beauty brands including NYX
- Describes specific product testing boxes with NYX products
- Includes multiple calls-to-action for joining testi",[],False,,,
1940085557914226845,"  SPR_COMBO[it]📍 NYX Professional Makeup Gloss Labbra, Finish Cremoso e Lucido, Fino a 12H di Idratazione, Maxi Applicatore, Con Squalano, Olio di Lampone e Camemoro, Fat Oil Lip Drip, Tonalità: Follow Back 🛒 https://t.co/L2A1jpPATs 💰 A soli 7,92 invece di 8,99 ✅ Venduto da Amazon e Spe… https://t.co/efcbCJjZ8A","SPR_COMBO[it] NYX Professional Makeup Gloss Labbra, Finish Cremoso e Lucido, Fino a 12H di Idratazione, Maxi Applicatore, Con Squalano, Olio di Lampone e Camemoro, Fat Oil Lip Drip, Tonalità: Follow Back A soli 7,92 invece di 8,99 Venduto da Amazon e Spe…",2025-07-01 16:30:16,it,TWITTER,,,💰✅🛒📍,b5ec62c1a8544e9128eefe0eb3fcf651,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Specific product details with direct Amazon purchase link
- Price promotion (discounted from 8.99 to 7.92)
- Detailed product description with emoji m",[],False,,,
