fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
18036711893376258,"  SPR_COMBO[es]¡No te pierdas esta Oferta🔥! En Amazon 📦 Loreal Shampoo Dream liso 680ml !! 🧖‍♀️💆‍♀️🌿 Precio con la oferta: Ahora: $105.00 🤑 Antes: $130.00👎 Shampoo para cabello liso, 680ml - Descuento del 19% 👉 Enlace en nuestro facebook (Ofertas Flash) #️⃣🌍 #ofertasFlash #Loreal #Amazon #Shampoo #Descuento #Promocion #OfertasAmazon #Belleza #Loreal","SPR_COMBO[es]¡No te pierdas esta Oferta! En Amazon Loreal Shampoo Dream liso 680ml !! Precio con la oferta: Ahora: $105.00 Antes: $130.00 Shampoo para cabello liso, 680ml - Descuento del 19% Enlace en nuestro facebook (Ofertas Flash)",2025-07-01 03:23:20,es,INSTAGRAM,ofertasFlash|Loreal|Amazon|Shampoo|Descuento|Promocion|OfertasAmazon|Belleza|Loreal,,🌿💆‍♀️#️⃣🔥🤑👎📦🧖‍♀️🌍👉,86f9171c355c84edcdeb68dad55140ac,,False,1,True,Affiliate,High,False,"The comment contains multiple strong promotional indicators:
- Direct product mention of Loreal Shampoo
- Specific pricing details (",[],False,,,
1939893128892182792,  Snapshot #MAYATVOFFICIAL | พี่เสือเพิ้ดเพิ้ด🐯 #PerthTanapon & น้องตาต้า #Santapp 🐶 at #เซรั่มปลุกผมxเพิร์ธแซนต้า Interview📽 https://t.co/kJqpCeEz8P PERTHSANTA WITH LOREAL #เพิร์ธแซนต้า #KDPPE #PerthSanta https://t.co/C5NuFLV4c7,Snapshot | พี่เสือเพิ้ดเพิ้ด & น้องตาต้า at ั่มปลุกผมxเพิร์ธแซนต้า Interview PERTHSANTA WITH LOREAL ิร์ธแซนต้า,2025-07-01 03:45:38,th,TWITTER,MAYATVOFFICIAL|PerthTanapon|Santapp|เซร|เพ|KDPPE|PerthSanta,,🐶🐯📽,a38057da415b939f96ff8ded52ae38f9,,False,1,True,Influencer,Medium,False,"- Contains explicit Loreal brand hashtag (#LOREAL)
- Features influencers Perth Tanapon & Santapp
- Appears to be an interview/content collaboration
- Uses campaign-style hashtags (#เพิร์ธแซนต้า)
- In","['#LOREAL', '#เพ']",False,,,
1939943202816930044,  Snapshot #MAYATVOFFICIAL | ตาต้า #Santapp 🐶 at #เซรั่มปลุกผมxเพิร์ธแซนต้า Interview📽 https://t.co/spoYWwO8Ds PERTHSANTA WITH LOREAL #เพิร์ธแซนต้า #KDPPE #PerthSanta https://t.co/FsSeIReqv8,Snapshot | ตาต้า at ั่มปลุกผมxเพิร์ธแซนต้า Interview PERTHSANTA WITH LOREAL ิร์ธแซนต้า,2025-07-01 07:04:36,en,TWITTER,MAYATVOFFICIAL|Santapp|เซร|เพ|KDPPE|PerthSanta,,🐶📽,7108cee302f432c6653db760f601bc98,,False,1,True,Influencer,Medium,False,"- Contains explicit Loreal brand hashtag (#LOREAL)
- Appears to be an influencer post featuring a celebrity/personality (PerthSanta)
- Uses multiple branded hashtags suggesting coordinated promotional",['#LOREAL'],False,,,
1939953881493975515,  Snapshot #MAYATVOFFICIAL | เพิ้ดเพิ้ด🐯 #PerthTanapon at #เซรั่มปลุกผมxเพิร์ธแซนต้า Interview📽 https://t.co/spoYWwO8Ds PERTHSANTA WITH LOREAL #เพิร์ธแซนต้า #KDPPE #PerthSanta https://t.co/ISTSlvz2pD,Snapshot | เพิ้ดเพิ้ด at ั่มปลุกผมxเพิร์ธแซนต้า Interview PERTHSANTA WITH LOREAL ิร์ธแซนต้า,2025-07-01 07:47:02,en,TWITTER,MAYATVOFFICIAL|PerthTanapon|เซร|เพ|KDPPE|PerthSanta,,🐯📽,2347c18f3fde40ab01e807a01ca9024f,,False,1,True,Influencer,Medium,False,"- Contains explicit Loreal brand hashtag (#LOREAL)
- Appears to be an influencer (Perth Tanapon) creating content
- Includes multiple branded hashtags suggesting promotional collaboration
- Contains v",['#LOREAL'],False,,,
17904078465192900,"  SPR_COMBO[de]Werbung!!!! Hallo ihr Lieben, muss es bei euch im Alltag manchmal auch schnell gehen , aber ihr möchtet nicht auf schöne Augenbrauen verzichten? Dan habe ich heute genau das richtige für euch. 🌄Den Infaillible Faux Brow Augenbrauenstift aus dem Make-up Bereich von Loreal Paris. 🌄 🥰Vorstellung🥰 Die innovative Doppel-Spitze des Infaillible Faux Brow zaubert mit jedem Strich optisch doppelt so viele Brauenhaare – für natürlich definierte, volle Brauen, die bis zu 2 Tage halten. 👍Wasserfest, schweißfest und hitzebeständig 👍Für optisch 2x mehr sichtbare Härchen. 👍Natürliche, volle und definierte Brauen 👍Hält bis zu 48 Stunden 👍Ultradünne Tinte 👍Präziser Applikator dank Doppelbürstenspitze 🥰 Anwendung 🥰 🌄Fülle mit dem Infaillible Faux Brow Stift gezielt Lücken in den Brauen auf und definiere dabei die natürliche Form Deiner Brauen. 🌄Beginne am vorderen Brauenansatz und ziehe mit kurzen, feinen, haarähnlichen Strichen sanft bis zum Ende der Braue. Wäre der Augenbrauenstift was für euch? Habt ihr ihn bereits ausprobiert? Ich wünsche euch einen sonnigen Tag ☀️ #lorealistar, #lorealparismakeup #fauxbrow #lorealparis  lorealparis","SPR_COMBO[de]Werbung!!!! Hallo ihr Lieben, muss es bei euch im Alltag manchmal auch schnell gehen , aber ihr möchtet nicht auf schöne Augenbrauen verzichten? Dan habe ich heute genau das richtige für euch. Den Infaillible Faux Brow Augenbrauenstift aus dem Make-up Bereich von Loreal Paris. Vorstellung Die innovative Doppel-Spitze des Infaillible Faux Brow zaubert mit jedem Strich optisch doppelt so viele Brauenhaare – für natürlich definierte, volle Brauen, die bis zu 2 Tage halten. Wasserfest, schweißfest und hitzebeständig Für optisch 2x mehr sichtbare Härchen. Natürliche, volle und definierte Brauen Hält bis zu 48 Stunden Ultradünne Tinte Präziser Applikator dank Doppelbürstenspitze Anwendung Fülle mit dem Infaillible Faux Brow Stift gezielt Lücken in den Brauen auf und definiere dabei die natürliche Form Deiner Brauen. Beginne am vorderen Brauenansatz und ziehe mit kurzen, feinen, haarähnlichen Strichen sanft bis zum Ende der Braue. Wäre der Augenbrauenstift was für euch? Habt ihr ihn bereits ausprobiert? Ich wünsche euch einen sonnigen Tag , lorealparis",2025-07-01 08:29:38,de,INSTAGRAM,lorealistar|lorealparismakeup|fauxbrow|lorealparis,,🥰🌄👍☀️,cf9654e4ace8b46c5236b2969a308098,,False,1,True,Influencer,High,False,"This is a clear promotional post for L'Oreal Paris, with multiple strong indicators of sponsored content:

1. Detailed product description of L'Oreal Infaillible Faux Brow eyebrow pencil
2. Explicit p",[],False,,,
1939970910125007264,  Myntra: Beauty Products Upto 60% Off Lakme Makeup Min. 60% Off https://t.co/cPo9SpVJPD Lakme Skin Care Min. 50% Off https://t.co/rwFOg399de Maybelline Makeup Essentials Min. 40% Off https://t.co/c7SETlNEyv Loreal Hair & Makeup Min. 40% Off … https://t.co/z7hnU5mNhT,Myntra: Beauty Products Upto 60% Off Lakme Makeup Min. 60% Off Lakme Skin Care Min. 50% Off Maybelline Makeup Essentials Min. 40% Off Loreal Hair & Makeup Min. 40% Off …,2025-07-01 08:54:42,en,TWITTER,,,,0e24508f3a65b7f5c724e5fa3cffec8b,,False,1,True,Affiliate,High,True,"The comment contains multiple promotional elements:
- Multiple discount offers for beauty brands (Lakme, Maybelline, Loreal)
- Shortened URLs typical of affiliate/tracking links
- Explicit sale percen",[],False,,,
1940043052627939754,  SPR_COMBO[th]พบ “เส้นผมใหม่ใกล้ฉัน”ด้วย L'Oreal Professionnel Serioxyl Advanced Densifying Serum PERTHSANTA WITH LOREAL #เซรั่มปลุกผมxเพิร์ธแซนต้า #PerthSanta #เพิร์ธแซนต้า #PerthTanapon #Santapp แล้วมาตามหัวใจของสองหนุ่ม เพิร์ธ-แซนต้า ถึงใจกลางสยาม L'Oreal Professionnel (ลอริอัล… https://t.co/Q8cB8MfRpA,SPR_COMBO[th]พบ “เส้นผมใหม่ใกล้ฉัน”ด้วย L'Oreal Professionnel Serioxyl Advanced Densifying Serum PERTHSANTA WITH LOREAL ั่มปลุกผมxเพิร์ธแซนต้า ิร์ธแซนต้า แล้วมาตามหัวใจของสองหนุ่ม เพิร์ธ-แซนต้า ถึงใจกลางสยาม L'Oreal Professionnel (ลอริอัล…,2025-07-01 13:41:22,th,TWITTER,เซร|PerthSanta|เพ|PerthTanapon|Santapp,,,b15f7aeb2cb0d2032e927c2f0e1c6778,,False,1,True,Influencer,Medium,False,"- Contains multiple branded hashtags related to L'Oreal Professionnel
- Specifically mentions L'Oreal Professionnel Serioxyl Advanced Densifying Serum
- Uses campaign-style hashtags like #เซรั่มปลุกผม",['#เซร'],False,,,
1940043473505394763,  SPR_COMBO[th]โอ้โหหห จึ้งเกินอะน้องต้า !!! PERTHSANTA WITH LOREAL #เซรั่มปลุกผมxเพิร์ธแซนต้า #perthsanta #เพิร์ธแซนต้า #Santapp @Ppsanta https://t.co/ehIFgXj7Pn,SPR_COMBO[th]โอ้โหหห จึ้งเกินอะน้องต้า !!! PERTHSANTA WITH LOREAL ั่มปลุกผมxเพิร์ธแซนต้า ิร์ธแซนต้า,2025-07-01 13:43:03,th,TWITTER,เซร|perthsanta|เพ|Santapp,Ppsanta,,ae5fe753c5394194af3283e6faddff47,,False,1,True,Influencer,Medium,False,"- Contains brand-specific hashtags related to L'Oreal (#เซรั่มปลุกผมxเพิร์ธแซนต้า)
- Mentions a specific product (serum) with brand connection
- Uses celebrity/influencer name (Perthsanta) in hashtags",['#เซร'],False,,,
1940086451653259668,  SPR_COMBO[es]¡ALCANZA EL SUEÑO DE UN CABELLO LISO! 💁‍♀️✨ - LOREAL SHAMPOO DREAM LISO 680ML Amazon: Loreal Shampoo Dream liso 680ml 2025 👉Enlace: https://t.co/tOPVdkIPna -19% de descuento ‼️COMPRANDO 3 CADA UNA QUEDA EN 70 PESITOS‼️ 🔥Precio Oferta: $105.00 ($0.15 / gramo) Precio anterior… https://t.co/cVn02P80NF,SPR_COMBO[es]¡ALCANZA EL SUEÑO DE UN CABELLO LISO! - LOREAL SHAMPOO DREAM LISO 680ML Amazon: Loreal Shampoo Dream liso 680ml 2025 Enlace: -19% de descuento COMPRANDO 3 CADA UNA QUEDA EN 70 PESITOS Precio Oferta: $105.00 ($0.15 / gramo) Precio anterior…,2025-07-01 16:33:49,es,TWITTER,,,💁‍♀️🔥‼️✨👉,3be74e825195d81755b28995e59c32d1,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Direct product link to Amazon
- Specific product details (Loreal Shampoo Dream Liso 680ml)
- Explicit pricing and discount information
- Call-to-actio",[],False,,,
XpOdHwjopzE,"  some products below are gifted & are marked with *** @Glamnetic  press-on nails @fhiheat unbrush @LOrealParisUSA @loreal everpure bond repair oil *** @neutrogena  beach defense spray spf 70 @vacationinc  classic whip spf 30 *** @erborianusa2339 cc cream w/ spf 25 *** @MorpheOfficial wakeup artist concealer & sponge *** @dibsbeauty desert island & glowtour duos *** @benefitcosmetics benetint, brow wax & brow setter *** @Hudabeauty easy bake powder & lip liner *** @makeupbymario brow pencil *** @tartecosmetics faux freckle stamp @MakeupRevolution wrap lash tubing mascara  *** UltraViolette spf 50 lip balm @ONESIZEBeauty spf makeup setting spray *** @dezi pusha glasses in burnt caramel @amazon jewelry & hair clips @PacsunOfficial  bikini @bublysparklingwater  strawberry sparkling water #beachgrwm #beachmakeup #beachlife #summermakeup","some products below are gifted & are marked with *** press-on nails unbrush everpure bond repair oil *** beach defense spray spf 70 classic whip spf 30 *** cc cream w/ spf 25 *** wakeup artist concealer & sponge *** desert island & glowtour duos *** benetint, brow wax & brow setter *** easy bake powder & lip liner *** brow pencil *** faux freckle stamp wrap lash tubing mascara *** UltraViolette spf 50 lip balm spf makeup setting spray *** pusha glasses in burnt caramel jewelry & hair clips bikini strawberry sparkling water",2025-07-01 18:05:20,en,YOUTUBE,beachgrwm|beachmakeup|beachlife|summermakeup,Glamnetic|fhiheat|LOrealParisUSA|loreal|neutrogena|vacationinc|erborianusa2339|MorpheOfficial|dibsbeauty|benefitcosmetics|Hudabeauty|makeupbymario|tartecosmetics|MakeupRevolution|ONESIZEBeauty|dezi|amazon|PacsunOfficial|bublysparklingwater,,40903ae4ce9a1c5f375750636660724b,,False,1,True,Influencer,High,False,"- Multiple brand tags (@LOrealParisUSA, multiple beauty brands)
- Contains product list with specific brand mentions
- Uses promotional hashtags (#beachgrwm, #beachmakeup)
- Appears to be a curated pr","['@LOrealParisUSA', '#beachgrwm', '#beachmakeup']",False,,,
