fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1940035666173415707,"  Shape, fill, slay—e.l.f. Brow Pencil $3.00 (Amazon's Choice) https://t.co/n2RYlxu7bf #FlawlessArches #BrowGameOnPoint #BudgetBeautyWin Image Credit: Amazon","Shape, fill, slay—e.l.f. Brow Pencil $3.00 (Amazon's Choice) Image Credit: Amazon",2025-07-01 13:12:01,en,TWITTER,FlawlessArches|BrowGameOnPoint|BudgetBeautyWin,,,1f45a181fb192113320c013928b291ca,,False,1,True,Affiliate,Medium,True,"- Contains Amazon product link (potential affiliate tracking)
- Uses branded hashtags (#FlawlessArches, #BrowGameOnPoint)
- Includes specific product details (E.L.F. Brow Pencil, price, Amazon's Choic","['- Promotional Hashtags: #FlawlessArches #BrowGameOnPoint #BudgetBeautyWin', '- Product Call-to-Action: ""Shape', 'fill', 'slay""', '- Product Specifics: E.L.F. Brow Pencil']",False,,,
1940036350364791247,  Glow all over—e.l.f. Multi Stick $4.44 (11% off) https://t.co/IExi34hpJu #PeonyPerfection #BlendAndGo Image Credit: Amazon,Glow all over—e.l.f. Multi Stick $4.44 (11% off) Image Credit: Amazon,2025-07-01 13:14:44,en,TWITTER,PeonyPerfection|BlendAndGo,,,8842416dc423b109a35671a286f40a25,,False,1,True,Affiliate,Medium,True,"- Contains a direct product link with pricing
- Includes specific product name (E.L.F. Multi Stick)
- Uses promotional hashtags (#PeonyPerfection, #BlendAndGo)
- Highlights a specific discount (11% of","['- ""Glow all over""', '- ""Multi Stick""', '- ""']",False,,,
17910610560160273,"  Tried this for the first time today – and I get the hype! My niece recommended the e.l.f. Halo Glow Setting Powder + Powder Puff and I finally gave it a go. It's honestly ideal in this warm weather – takes down the shine but still feels really light. ✨ Quick to use ✨ Smooth, not heavy ✨ Super affordable Big fan already. Link in bio if you want to check it out 🧺 (affiliate) #elfcosmetics #AmazonFinds #FirstTryFave #TwoBoysAndABasket #MumMakeup #EasyBeauty #haloglow","Tried this for the first time today – and I get the hype! My niece recommended the e.l.f. Halo Glow Setting Powder + Powder Puff and I finally gave it a go. It's honestly ideal in this warm weather – takes down the shine but still feels really light. Quick to use Smooth, not heavy Super affordable Big fan already. Link in bio if you want to check it out (affiliate)",2025-07-01 15:04:12,en,INSTAGRAM,elfcosmetics|AmazonFinds|FirstTryFave|TwoBoysAndABasket|MumMakeup|EasyBeauty|haloglow,,🧺✨,7a3dcd7dc320b11344ead3b5421a463c,,False,1,True,Affiliate,Medium,True,"The comment contains multiple promotional indicators:
1. Explicit ""(affiliate)"" disclosure
2. ""Link in bio if you want to check it out"" - direct call to action
3. Multiple branded hashtags (#elfcosmet",['#elfcosmet'],False,,,
1940080903197249720,"  e.l.f. Power Grip Primer Mini, Gel-Based & Hydrating Face Primer For Smoothing Skin & Gripping Makeup, Moisturizes & Primes https://t.co/klARgWckWy #Amazon via @Amazon https://t.co/QIVEHjMyuy","e.l.f. Power Grip Primer Mini, Gel-Based & Hydrating Face Primer For Smoothing Skin & Gripping Makeup, Moisturizes & Primes via",2025-07-01 16:11:46,en,TWITTER,Amazon,Amazon,,4d30aca53f0294ede5b0821a6ee42a8b,cluster_4,True,5,True,Affiliate,Medium,True,"- Contains direct product name and specific details about E.L.F. Power Grip Primer
- Includes Amazon affiliate link (https://t.co/klARgWckWy)
- Uses Amazon's official Twitter handle (@Amazon)
- Includ","['https://t.co/klARgWckWy)', '@Amazon']",False,,,
1940080923636375940,"  e.l.f. Monochromatic Multi Stick, Luxuriously Creamy & Blendable Color, For Eyes, Lips & Cheeks, Glowing Mango, 0.17 Oz https://t.co/GvMD7pyKwj #Amazon via @Amazon https://t.co/KMF4E4Fqwj","e.l.f. Monochromatic Multi Stick, Luxuriously Creamy & Blendable Color, For Eyes, Lips & Cheeks, Glowing Mango, 0.17 Oz via",2025-07-01 16:11:51,en,TWITTER,Amazon,Amazon,,5f8eab4e6fe982561686950898225064,cluster_2,True,7,True,Affiliate,Medium,True,"- Contains direct Amazon product link with tracking parameters
- Includes specific product details (E.L.F. Monochromatic Multi Stick)
- Uses hashtags and mentions (@Amazon)
- Reads like a product reco",['@Amazon'],False,,,
1940080955508891688,"  e.l.f. Instant Lift Brow Pencil, Dual-Sided, Precise, Fine Tip, Shapes, Defines, Fills Brows, Contours, Combs, Tames, 0.006 Oz, Deep Brown, 1 Count https://t.co/aUnVfgx2fD #Amazon via @Amazon https://t.co/rF0cGpt0sB","e.l.f. Instant Lift Brow Pencil, Dual-Sided, Precise, Fine Tip, Shapes, Defines, Fills Brows, Contours, Combs, Tames, 0.006 Oz, Deep Brown, 1 Count via",2025-07-01 16:11:59,en,TWITTER,Amazon,Amazon,,d0f1de6808ca158b257592bb1207b754,cluster_3,True,6,True,Affiliate,Medium,True,"- Contains direct product details with specific model/color
- Includes Amazon affiliate link (https://t.co/aUnVfgx2fD)
- Uses product hashtag and mentions Amazon
- Reads like a product recommendation ",['https://t.co/aUnVfgx2fD)'],False,,,
17939300400041562,"  🌊 Julio de Belleza en Ocean Blue 🌊 Este mes trae promociones irresistibles en tus productos favoritos de maquillaje y skincare: 💄 Super Stay Vinyl Ink (tono Cheeky) – L 450 🧼 Gel Limpiador Neutrogena – L 555 🌟 Paleta de Contorno en Polvo e.l.f. – L 297 💧 Sérum Hidratante NYX – L 325 🖊️ Lápiz Líquido de Larga Duración NYX – L 395 🎁 Y además: si compras cualquiera de estos productos en promoción, ¡recibís un cupón del 5% de descuento para tu próxima compra! 🙌🏼✨ 📲 Pedí el tuyo por WhatsApp: 3395-1594 #OceanBlueHN #PromosJulio #SkincareHonduras #MakeupLovers #DescuentosHN #BeautyDeals","Julio de Belleza en Ocean Blue Este mes trae promociones irresistibles en tus productos favoritos de maquillaje y skincare: Super Stay Vinyl Ink (tono Cheeky) – L 450 Gel Limpiador Neutrogena – L 555 Paleta de Contorno en Polvo e.l.f. – L 297 Sérum Hidratante NYX – L 325 Lápiz Líquido de Larga Duración NYX – L 395 Y además: si compras cualquiera de estos productos en promoción, ¡recibís un cupón del 5% de descuento para tu próxima compra! Pedí el tuyo por WhatsApp: 3395-1594",2025-07-01 20:53:35,es,INSTAGRAM,OceanBlueHN|PromosJulio|SkincareHonduras|MakeupLovers|DescuentosHN|BeautyDeals,,🎁📲🌊🧼🙌🏼💧💄🖊️🌟✨,645852dbd5d8c2086f2327cfeb2a9f14,,False,1,True,Influencer,High,False,"- Contains direct product pricing for multiple brands
- Includes specific E.L.F. product (Contour Powder Palette)
- Offers promotional discount (5% coupon for next purchase)
- Includes sales-oriented ",[],False,,,
1940361520749416576,"  e.l.f. Instant Lift Brow Pencil, Dual-Sided, Precise, Fine Tip, Shapes, Defines, Fills Brows, Contours, Combs, Tames, 0.006 Oz, Deep Brown, 1 Count https://t.co/aUnVfgx2fD #Amazon via @Amazon https://t.co/rF0cGpt0sB","e.l.f. Instant Lift Brow Pencil, Dual-Sided, Precise, Fine Tip, Shapes, Defines, Fills Brows, Contours, Combs, Tames, 0.006 Oz, Deep Brown, 1 Count via",2025-07-02 10:46:51,en,TWITTER,Amazon,Amazon,,d0f1de6808ca158b257592bb1207b754,cluster_3,False,6,True,Affiliate,Medium,True,"- Contains direct product details with specific model/color
- Includes Amazon affiliate link (https://t.co/aUnVfgx2fD)
- Uses product hashtag and mentions Amazon
- Reads like a product recommendation ",['https://t.co/aUnVfgx2fD)'],True,True,Medium,3.119014024734497
1940361539560894734,"  e.l.f. Monochromatic Multi Stick, Luxuriously Creamy & Blendable Color, For Eyes, Lips & Cheeks, Glowing Mango, 0.17 Oz https://t.co/GvMD7pyKwj #Amazon via @Amazon https://t.co/KMF4E4Fqwj","e.l.f. Monochromatic Multi Stick, Luxuriously Creamy & Blendable Color, For Eyes, Lips & Cheeks, Glowing Mango, 0.17 Oz via",2025-07-02 10:46:55,en,TWITTER,Amazon,Amazon,,5f8eab4e6fe982561686950898225064,cluster_2,False,7,True,Affiliate,Medium,True,"- Contains direct Amazon product link with tracking parameters
- Includes specific product details (E.L.F. Monochromatic Multi Stick)
- Uses hashtags and mentions (@Amazon)
- Reads like a product reco",['@Amazon'],True,True,Medium,2.861224174499512
1940365127662100755,"  e.l.f. Instant Lift Brow Pencil, Dual-Sided, Precise, Fine Tip, Shapes, Defines, Fills Brows, Contours, Combs, Tames, 0.006 Oz, Deep Brown, 1 Count https://t.co/aUnVfgx2fD #Amazon via @Amazon https://t.co/rF0cGpt0sB","e.l.f. Instant Lift Brow Pencil, Dual-Sided, Precise, Fine Tip, Shapes, Defines, Fills Brows, Contours, Combs, Tames, 0.006 Oz, Deep Brown, 1 Count via",2025-07-02 11:01:11,en,TWITTER,Amazon,Amazon,,d0f1de6808ca158b257592bb1207b754,cluster_3,False,6,True,Affiliate,Medium,True,"- Contains direct product details with specific model/color
- Includes Amazon affiliate link (https://t.co/aUnVfgx2fD)
- Uses product hashtag and mentions Amazon
- Reads like a product recommendation ",['https://t.co/aUnVfgx2fD)'],True,True,Medium,3.119014024734497
