fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
OQjETs_D80A,"  Stream Bold. Stay Unfiltered. Join https://www.tashaklive.com/ for the best in Black TV shows, indie films, docuseries, uncensored podcasts, and more! No filters. No limits. Just raw, real entertainment! Score 10% OFF at TKDEALS! ✨ Use code TK10 at checkout and grab your favorites now! Shop https://shoptkdeals.com/ Struggling with debt? Get a FREE bankruptcy consultation from Chad Van Horn Law Group. Start now at https://www.startovernow.org/ and take your first step to financial freedom. Chad Van Horn Law Group – Helping You Start Over Now. For your chance to shoot your shot in our talent show, complete this form https://form.jotform.com/251207795615158 Got a Story or Tip- https://form.jotform.com/241415066217046 Advertise on The Show- https://form.jotform.com/240154286428053 Comedy Tour Tickets- https://www.tashakonstage.com/ Amazon Store- https://www.amazon.com/shop/unwinewithtashak TashaKLive.com - https://www.tashaklive.com/catalog Winos Secret Society Memberships: https://www.youtube.com/@unwinewithtashak/membership Sephora Pro Brush #70 - https://go.magik.ly/ml/24htk/ Fenty Beauty Pro Filter Soft Matte Powder Foundation #450 - https://go.magik.ly/ml/24htv/ Milan No Pore Zone Mattifying Primer- https://go.magik.ly/ml/24hu1/ Mac Powder Foundation NW48- https://go.magik.ly/ml/24hu3/ Makeup Wipes by Aveno- https://go.magik.ly/ml/24hwl/ Strapless Bra: https://go.magik.ly/ml/no2d/ Ikea White Robe- https://go.magik.ly/ml/24hui/ Perfume- https://go.magik.ly/ml/24hux/ Sephora Lip Stain Lip Liner- https://go.magik.ly/ml/24hv1/ Maybelline SuperStay Matte Ink - https://go.magik.ly/ml/24hv3/ Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing Disclaimer: The views and opinions expressed in this video and on the unWineWithTashaK Youtube Channel do not necessarily reflect the opinion of Tasha K and unwineWithTashaK Youtube Channel. All topics are for entertainment purposes only! comedy satire TV-MA Viewer discretion is advised. All commentary is Alleged","Stream Bold. Stay Unfiltered. Join for the best in Black TV shows, indie films, docuseries, uncensored podcasts, and more! No filters. No limits. Just raw, real entertainment! Score 10% OFF at TKDEALS! Use code TK10 at checkout and grab your favorites now! Shop Struggling with debt? Get a FREE bankruptcy consultation from Chad Van Horn Law Group. Start now at and take your first step to financial freedom. Chad Van Horn Law Group – Helping You Start Over Now. For your chance to shoot your shot in our talent show, complete this form Got a Story or Tip- Advertise on The Show- Comedy Tour Tickets- Amazon Store- TashaKLive.com - Winos Secret Society Memberships: Sephora Pro Brush - Fenty Beauty Pro Filter Soft Matte Powder Foundation - Milan No Pore Zone Mattifying Primer- Mac Powder Foundation NW48- Makeup Wipes by Aveno- Strapless Bra: Ikea White Robe- Perfume- Sephora Lip Stain Lip Liner- Maybelline SuperStay Matte Ink - Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing Disclaimer: The views and opinions expressed in this video and on the unWineWithTashaK Youtube Channel do not necessarily reflect the opinion of Tasha K and unwineWithTashaK Youtube Channel. All topics are for entertainment purposes only! comedy satire TV-MA Viewer discretion is advised. All commentary is Alleged",2025-07-01 23:19:25,en,YOUTUBE,70|450,unwinewithtashak,✨,f0f03b9f032c8f6c81cf33ff772a138c,,False,1,True,Affiliate,High,True,"The comment contains multiple affiliate links specifically for Fenty Beauty products (Pro Filter Soft Matte Powder Foundation #450), along with numerous other product links. It appears to be a compreh",['#450'],False,,,
cL6EZqiOzCk,"  My mammogram experience so you get yours too! It's not so bad! https://www.instagram.com/p/DLavSMZRrLs/ Here's a tour of the airbnb we stayed in Anaheim! https://www.instagram.com/p/DLYy9-xshLr/ Here's some pics from our trip: https://www.instagram.com/p/DLSzskqxI93/?img_index=1 Where I online thrift shop! Thredup get 45%off + free shipping with my invite link: https://www.thredup.com/r/7KRI1L Stalks and Bloom Florist https://www.stalksandbloomsflorist.com/ Stalks and Blooms Florist 4102 Orange Ave Unit 126 Long Beach, CA 90807 (562) 612-4266 Fav candle Forvr Mood Matcha Besteas: https://bit.ly/4dRZuPj Give my new post some love! It's with Charlie hehehe! https://www.instagram.com/aprilathena7/ Watch the previous vlog: https://www.youtube.com/watch?v=QIlplQv-Sbc&t=660s Makeup I love to wear: Fenty Beauty Private Island Bronzer: https://bit.ly/3zmw0ZR Ami Cole Foundation Stick: https://bit.ly/4dRPepe Ami Cole Cream Stick Spice: https://bit.ly/4eBHZle Fenty Beauty Riri Gloss: https://bit.ly/3ANAkSO FTC: Hey friends this video is not sponsored. I include Amazon and RewardStyle affiliate links and receive commission on purchases made through those links. Thank you so much for your support! Email: management@aa7media.com","My mammogram experience so you get yours too! It's not so bad! Here's a tour of the airbnb we stayed in Anaheim! Here's some pics from our trip: Where I online thrift shop! Thredup get 45%off + free shipping with my invite link: Stalks and Bloom Florist Stalks and Blooms Florist 4102 Orange Ave Unit 126 Long Beach, CA 90807 (562) 612-4266 Fav candle Forvr Mood Matcha Besteas: Give my new post some love! It's with Charlie hehehe! Watch the previous vlog: Makeup I love to wear: Fenty Beauty Private Island Bronzer: Ami Cole Foundation Stick: Ami Cole Cream Stick Spice: Fenty Beauty Riri Gloss: FTC: Hey friends this video is not sponsored. I include Amazon and RewardStyle affiliate links and receive commission on purchases made through those links. Thank you so much for your support! Email: management.com",2025-07-02 01:26:50,en,YOUTUBE,,aa7media,,ae60a320ca4b044dd4fece8cab11aa16,,False,1,True,Affiliate,High,True,"The comment contains multiple clear promotional elements:
- Multiple affiliate links for Fenty Beauty products
- Specific product recommendations (Fenty Beauty Private Island Bronzer, Riri Gloss)
- Ex",[],False,,,
18071419040483497,  Gloss fenty beauty Tono fuchsia flex $25.000 Delivery y retiro Envíos a todo chile #fentybeautybyrihanna #gloss #laserena,Gloss fenty beauty Tono fuchsia flex $25.000 Delivery y retiro Envíos a todo chile,2025-07-02 17:47:13,es,INSTAGRAM,fentybeautybyrihanna|gloss|laserena,,,789a3c7fca340a50934ee523d9f170ee,,False,1,True,Spam,Medium,False,"The comment appears to be a promotional/spam post with several key characteristics:
- Specific product mention (Fenty Beauty gloss)
- Price listed (",[],False,,,
gkPjVNRuklM,"  When Was Fenty Beauty Launched? - The Rich And Famous Files When Was Fenty Beauty Launched? In this informative video, we delve into the fascinating story of Fenty Beauty, the cosmetics ...","When Was Fenty Beauty Launched? - The Rich And Famous Files When Was Fenty Beauty Launched? In this informative video, we delve into the fascinating story of Fenty Beauty, the cosmetics ...",2025-07-02 19:19:34,en,YOUTUBE,,,,c4135920bbe1c63577871299a6fb310a,,False,1,True,Affiliate,Medium,False,"The comment appears to be a semi-promotional video description/teaser that seems designed to generate clicks about Fenty Beauty's launch. While not overtly selling a product, it has characteristics of",[],False,,,
17898950778231556,"  Here's how to stay matte all day, even under makeup! ✨ All available on Amazon Start with the COSRX Low pH Good Morning Gel Cleanser for a fresh, oil-free base, follow with MEDIHEAL toner pads to balance your skin, and finish with Fenty Beauty's Pro Filt'r Mattifying Primer for a flawless, shine-free look! Let's keep that glow in check! 💖” Product Use Directions: 1. **COSRX cosrx Low pH Good Morning Gel Cleanser** - **When to Use**: Use this cleanser every morning and evening as part of your skincare routine. - **How to Use**: 1. Wet your face with lukewarm water. 2. Squeeze a small amount of the gel onto your palm and lather it up. 3. Gently massage the lather onto your face in circular motions for about 30 seconds. 4. Rinse thoroughly with lukewarm water and pat your face dry with a clean towel. 2. **MEDIHEAL Toner Pads mediheal_global - **When to Use**: Use after cleansing, both in the morning and evening. - **How to Use**: 1. Take a toner pad from the container. 2. Gently swipe the pad across your face, avoiding the eye area. 3. Allow the toner to absorb into your skin; you can follow up with additional skincare products if desired. 3. **Fenty Beauty Pro Filt'r Mattifying Primer** fentybeauty - **When to Use**: Apply this primer after your skincare routine and before makeup application. - **How to Apply**: 1. Pump a small amount of the primer onto your fingertips. 2. Gently apply it to your face, focusing on areas that tend to get oily (like the T-zone). 3. Allow it to set for a minute before applying your foundation or makeup for a smooth, matte finish. With this routine, you'll be ready to conquer the day with a shine-free, flawless look! #longislandmakeupartist #newyorkmakeupartist #skincaregoals #oilyskincareroutine #softglamlook Long Island Makeup Artist, New York makeup artist, bridal Makeup Artist, Wedding Makeup Artist,","Here's how to stay matte all day, even under makeup! All available on Amazon Start with the COSRX Low pH Good Morning Gel Cleanser for a fresh, oil-free base, follow with MEDIHEAL toner pads to balance your skin, and finish with Fenty Beauty's Pro Filt'r Mattifying Primer for a flawless, shine-free look! Let's keep that glow in check! ” Product Use Directions: 1. **COSRX cosrx Low pH Good Morning Gel Cleanser** - **When to Use**: Use this cleanser every morning and evening as part of your skincare routine. - **How to Use**: 1. Wet your face with lukewarm water. 2. Squeeze a small amount of the gel onto your palm and lather it up. 3. Gently massage the lather onto your face in circular motions for about 30 seconds. 4. Rinse thoroughly with lukewarm water and pat your face dry with a clean towel. 2. **MEDIHEAL Toner Pads mediheal_global - **When to Use**: Use after cleansing, both in the morning and evening. - **How to Use**: 1. Take a toner pad from the container. 2. Gently swipe the pad across your face, avoiding the eye area. 3. Allow the toner to absorb into your skin; you can follow up with additional skincare products if desired. 3. **Fenty Beauty Pro Filt'r Mattifying Primer** fentybeauty - **When to Use**: Apply this primer after your skincare routine and before makeup application. - **How to Apply**: 1. Pump a small amount of the primer onto your fingertips. 2. Gently apply it to your face, focusing on areas that tend to get oily (like the T-zone). 3. Allow it to set for a minute before applying your foundation or makeup for a smooth, matte finish. With this routine, you'll be ready to conquer the day with a shine-free, flawless look! Long Island Makeup Artist, New York makeup artist, bridal Makeup Artist, Wedding Makeup Artist,",2025-07-04 14:31:14,en,INSTAGRAM,longislandmakeupartist|newyorkmakeupartist|skincaregoals|oilyskincareroutine|softglamlook,,✨💖,9aee0a97e8e5cff710500067f4f8d7d8,,False,1,True,Influencer,Medium,True,"- Contains multiple product recommendations with detailed usage instructions
- Includes multiple brand tags (#fentybeauty, #mediheal_global)
- Extensive product use directions with step-by-step guidan","['#fentybeauty', '#mediheal_global']",False,,,
18362047465196569,"  Just some nudes to get ya in the mood… Neutral tones, high vibes, low effort. Thank me later. ✨ '𝘀 𝘆𝗼𝘂𝗿 𝗴𝗼 𝘁𝗼 𝗹𝗶𝗽 𝗰𝗼𝗺𝗯𝗼? [𝗔𝗺𝗮𝘇𝗼𝗻 🔗 𝗶𝗻 𝗯𝗶𝗼 𝗳𝗼𝗿 𝘁𝗵𝗲 𝘄𝗶𝗻] Summer Friday - Sweet Mint Sephora - Pink Pout Fenty Beauty - Fenty Glow Elf - Strawberry Shortcake Rimmel London - 705 Cappuccino Nyx - Born to hustle & Brunch me #SoftGirlInHerBag #BarelyThereButBold #nudelip  #selfcare #lipgloss #summerfriday #fentybeauty #nyxcosmetics #rimmellondon #elfcosmetics #sephora","Just some nudes to get ya in the mood… Neutral tones, high vibes, low effort. Thank me later. '𝘀 𝘆𝗼𝘂𝗿 𝗴𝗼 𝘁𝗼 𝗹𝗶𝗽 𝗰𝗼𝗺𝗯𝗼? [𝗔𝗺𝗮𝘇𝗼𝗻 𝗶𝗻 𝗯𝗶𝗼 𝗳𝗼𝗿 𝘁𝗵𝗲 𝘄𝗶𝗻] Summer Friday - Sweet Mint Sephora - Pink Pout Fenty Beauty - Fenty Glow Elf - Strawberry Shortcake Rimmel London - 705 Cappuccino Nyx - Born to hustle & Brunch me",2025-07-04 17:25:08,en,INSTAGRAM,SoftGirlInHerBag|BarelyThereButBold|nudelip|selfcare|lipgloss|summerfriday|fentybeauty|nyxcosmetics|rimmellondon|elfcosmetics|sephora,,🔗✨,89d2f40a223eaceb982b8a7c9de36b8d,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators are present:
1. Amazon affiliate link mentioned explicitly in comment
2. Multiple brand hashtags (#fentybeauty, #sephora, etc.)
3. Detailed product listing with ","['#fentybeauty', '#sephora']",False,,,
1941231591961067700,"  @123456789012err Le Eaze Drop Blurring Skin Tint de Fenty Beauty coûte 26,60€ en promo chez Sephora (prix normal 38€, -30% soldes jusqu'au 22/07). Dispo en 25 teintes. Parfait pour camoufler ton cocard ! Si besoin, ajoute un correcteur pour mieux couvrir. 😎","Le Eaze Drop Blurring Skin Tint de Fenty Beauty coûte 26,60€ en promo chez Sephora (prix normal 38€, -30% soldes jusqu'au 22/07). Dispo en 25 teintes. Parfait pour camoufler ton cocard ! Si besoin, ajoute un correcteur pour mieux couvrir.",2025-07-04 20:24:12,fr,TWITTER,,123456789012err,😎,1cb664a16e91cc7c58547ae4ec5b8fd4,,False,1,True,Affiliate,Medium,False,"The comment contains several promotional indicators:
- Specific product details (Le Eaze Drop Blurring Skin Tint)
- Explicit price promotion (€26.60 vs €38, -30% sale)
- Sale period details (until 22/",[],False,,,
3YvU6ww0bzg,"  Stream Bold. Stay Unfiltered. Join https://www.tashaklive.com/ for the best in Black TV shows, indie films, docuseries, uncensored podcasts, and more! No filters. No limits. Just raw, real entertainment! Score 10% OFF at TKDEALS! ✨ Use code TK10 at checkout and grab your favorites now! Shop https://shoptkdeals.com/ Struggling with debt? Get a FREE bankruptcy consultation from Chad Van Horn Law Group. Start now at https://www.startovernow.org/ and take your first step to financial freedom. Chad Van Horn Law Group – Helping You Start Over Now. Got a Story or Tip- https://form.jotform.com/241415066217046 Advertise on The Show- https://form.jotform.com/240154286428053 Comedy Tour Tickets- https://www.tashakonstage.com/ Amazon Store- https://www.amazon.com/shop/unwinewithtashak TashaKLive.com - https://www.tashaklive.com/catalog Winos Secret Society Memberships: https://www.youtube.com/@unwinewithtashak/membership Sephora Pro Brush #70 - https://go.magik.ly/ml/24htk/ Fenty Beauty Pro Filter Soft Matte Powder Foundation #450 - https://go.magik.ly/ml/24htv/ Milan No Pore Zone Mattifying Primer- https://go.magik.ly/ml/24hu1/ Mac Powder Foundation NW48- https://go.magik.ly/ml/24hu3/ Makeup Wipes by Aveno- https://go.magik.ly/ml/24hwl/ Strapless Bra: https://go.magik.ly/ml/no2d/ Ikea White Robe- https://go.magik.ly/ml/24hui/ Perfume- https://go.magik.ly/ml/24hux/ Sephora Lip Stain Lip Liner- https://go.magik.ly/ml/24hv1/ Maybelline SuperStay Matte Ink - https://go.magik.ly/ml/24hv3/ Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing Disclaimer: The views and opinions expressed in this video and on the unWineWithTashaK Youtube Channel do not necessarily reflect the opinion of Tasha K and unwineWithTashaK Youtube Channel. All topics are for entertainment purposes only! comedy satire TV-MA Viewer discretion is advised. All commentary is Alleged","Stream Bold. Stay Unfiltered. Join for the best in Black TV shows, indie films, docuseries, uncensored podcasts, and more! No filters. No limits. Just raw, real entertainment! Score 10% OFF at TKDEALS! Use code TK10 at checkout and grab your favorites now! Shop Struggling with debt? Get a FREE bankruptcy consultation from Chad Van Horn Law Group. Start now at and take your first step to financial freedom. Chad Van Horn Law Group – Helping You Start Over Now. Got a Story or Tip- Advertise on The Show- Comedy Tour Tickets- Amazon Store- TashaKLive.com - Winos Secret Society Memberships: Sephora Pro Brush - Fenty Beauty Pro Filter Soft Matte Powder Foundation - Milan No Pore Zone Mattifying Primer- Mac Powder Foundation NW48- Makeup Wipes by Aveno- Strapless Bra: Ikea White Robe- Perfume- Sephora Lip Stain Lip Liner- Maybelline SuperStay Matte Ink - Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing Disclaimer: The views and opinions expressed in this video and on the unWineWithTashaK Youtube Channel do not necessarily reflect the opinion of Tasha K and unwineWithTashaK Youtube Channel. All topics are for entertainment purposes only! comedy satire TV-MA Viewer discretion is advised. All commentary is Alleged",2025-07-04 20:30:07,en,YOUTUBE,70|450,unwinewithtashak,✨,ef3b0387708d9eabb9709955e8741d1e,cluster_2,True,17,True,Affiliate,High,True,"The comment contains multiple direct affiliate links specifically to Fenty Beauty products (Pro Filter Soft Matte Powder Foundation #450), along with numerous other product links. It appears to be a c",['#450'],False,,,
kjA6qlyRjD4,"  Fenty Beauty's next-gen digital experience at its First concept store in Mainland China 🇨🇳💄 Visitors at the new Shenzhen store can explore AI-powered virtual makeup — try on stunning looks in real-time, capture their ...","Fenty Beauty's next-gen digital experience at its First concept store in Mainland China Visitors at the new Shenzhen store can explore AI-powered virtual makeup — try on stunning looks in real-time, capture their ...",2025-07-07 11:12:00,en,YOUTUBE,,,🇨🇳💄,f51c5a89974f04e4ecc572c90d7e3d28,,False,1,True,Brand_Official,High,False,"The comment appears to be an official brand communication about Fenty Beauty's new concept store in China. Key indicators include:
- Detailed description of brand's digital experience
- Specific store",[],False,,,
18014357537756650,"  Fenty Glow Battle: Bullet vs Liquid! ❤ Which one is your favorite? ⏬ Fenty Beauty Gloss Bomb Stix High-Shine Gloss Stick Fenty Glow Or Fenty Beauty Gloss Bomb Universal Lip Luminizer Fenty Glow Drop your answer in the comment section! { Fenty beauty gloss bomb, Fenty beauty lip luminizer, Fenty beauty riri, Fenty beauty, Riri lipstick, Lipstick battle, Lipstick showdown, Who wins, Lipstick lover, Lipgloss lover } #fentybeauty #fentybeautybyrihanna #fentyglow #fentyglossbomb #fentybeautyglossbomb #fentylipgloss #fentylipluminizer #trending #viral #makeup #aesthetic #beauty #trendingreels #makeupcollection #makeupcommunity #lipstick #makeuplooks #makeuplover","Fenty Glow Battle: Bullet vs Liquid! Which one is your favorite? Fenty Beauty Gloss Bomb Stix High-Shine Gloss Stick Fenty Glow Or Fenty Beauty Gloss Bomb Universal Lip Luminizer Fenty Glow Drop your answer in the comment section! { Fenty beauty gloss bomb, Fenty beauty lip luminizer, Fenty beauty riri, Fenty beauty, Riri lipstick, Lipstick battle, Lipstick showdown, Who wins, Lipstick lover, Lipgloss lover }",2025-07-07 12:14:52,en,INSTAGRAM,fentybeauty|fentybeautybyrihanna|fentyglow|fentyglossbomb|fentybeautyglossbomb|fentylipgloss|fentylipluminizer|trending|viral|makeup|aesthetic|beauty|trendingreels|makeupcollection|makeupcommunity|lipstick|makeuplooks|makeuplover,,❤⏬,aa5e260100eb3007dfbb6bdb98035764,,False,1,True,UGC_Campaign,Medium,False,"The comment exhibits strong characteristics of a brand-encouraged user-generated content (UGC) campaign:
- Structured like a brand engagement prompt
- Encourages user interaction with a ""battle"" conce",[],False,,,
