fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1940131991732502647,  hailey bieber x rhode 🍋💛 https://t.co/v9myHknPuK,hailey bieber x rhode,2025-07-01 19:34:47,de,TWITTER,,,🍋💛,41860f091d3330bf6defa5c504fc6a91,,False,1,True,Influencer,Low,False,"- Direct reference to Hailey Bieber (brand founder) and Rhode
- Includes brand name and emoji suggesting positive brand association
- Contains a URL link (though not a clear affiliate link)
- Appears ",[],False,,,
1940150407147270432,  SPR_COMBO[it]anto postando produto da rhode no story ✨💅,SPR_COMBO[it]anto postando produto da rhode no story,2025-07-01 20:47:57,it,TWITTER,,,💅✨,cb5c1414755552b12290a13f7e5d9f5e,,False,1,True,Influencer,Low,False,"The comment appears to be a casual, personal mention of sharing a Rhode product in a social media story. While product-focused, it lacks explicit promotional elements and seems like genuine user conte",[],False,,,
18053246525600640,"  A little blush for a little flush. Our on-the-go cream blush wakes up cheeks and lips with a satiny, diffused flush that melts on smoothly and stays all day. It's a lightweight formula that hydrates skin for baby-soft cheeks and leaves a glowy finish without a greasy feel. The Pigmentation of these rhode blush are upto mark. ❤ Follow and Comment for more #amazon #purples #purple #pink #blush #pigmented #best #rhode #nykaabeauty #nykaa #amazing #online #followforfollowback #instagood #instalike #instadaily #instalove #followme #follow4followback #growth #viral #reelitfeelit #reelinstagram #makeuplover #makeupaddict","A little blush for a little flush. Our on-the-go cream blush wakes up cheeks and lips with a satiny, diffused flush that melts on smoothly and stays all day. It's a lightweight formula that hydrates skin for baby-soft cheeks and leaves a glowy finish without a greasy feel. The Pigmentation of these rhode blush are upto mark. Follow and Comment for more",2025-07-02 04:31:35,en,INSTAGRAM,amazon|purples|purple|pink|blush|pigmented|best|rhode|nykaabeauty|nykaa|amazing|online|followforfollowback|instagood|instalike|instadaily|instalove|followme|follow4followback|growth|viral|reelitfeelit|reelinstagram|makeuplover|makeupaddict,,❤,9ca9524121936f94de587447200a8c87,,False,1,True,Spam,High,False,"The comment exhibits multiple characteristics of spam/promotional content:
- Multiple generic hashtag campaigns (#followforfollowback, #viral)
- Excessive hashtags across multiple brands/platforms
- A","['#followforfollowback', '#viral']",False,,,
mov_DB89276909A90F674CAF7A0135DBC57B,"  SPR_COMBO[es]Antonela Roccuzzo está completamente integrada en la sociedad estadounidense, y prueba de ello es que se ha convertido en imagen de varias marcas de gran relevancia nacional, como la popular firma de ropa deportiva 'Alo Yoga' o la prestigiosa joyería 'Tiffany & Co'. Es por ello que no sorprende que Hailey Bieber, una de las personalidades más famosas del país, le haya hecho llegar uno de los últimos productos que ha lanzado al mercado mediante su empresa de cosméticos 'rhode skin', que está siendo un éxito mundial. El 'story' de Antonela Roccuzzo. Instagram La mujer de Justin Bieber le ha enviado a Antonela el 'Skin Glazing Mist', el primer spray facial de su marca, que proporciona un acabado hidratante y luminoso. Es un producto ideal para retoques a lo largo de un día de playa y puede aplicarse tanto sobre la piel limpia como sobre el maquillaje. Lee también La argentina está viviendo uno de los momentos más dulces de su vida. Hace unos días, compartió con sus millones de 'followers' unas instantáneas en las que aparece celebrando el 38 cumpleaños de su marido, el futbolista Leo Messi, en compañía de familiares y amigos.","SPR_COMBO[es]Antonela Roccuzzo está completamente integrada en la sociedad estadounidense, y prueba de ello es que se ha convertido en imagen de varias marcas de gran relevancia nacional, como la popular firma de ropa deportiva 'Alo Yoga' o la prestigiosa joyería 'Tiffany & Co'. Es por ello que no sorprende que Hailey Bieber, una de las personalidades más famosas del país, le haya hecho llegar uno de los últimos productos que ha lanzado al mercado mediante su empresa de cosméticos 'rhode skin', que está siendo un éxito mundial. El 'story' de Antonela Roccuzzo. Instagram La mujer de Justin Bieber le ha enviado a Antonela el 'Skin Glazing Mist', el primer spray facial de su marca, que proporciona un acabado hidratante y luminoso. Es un producto ideal para retoques a lo largo de un día de playa y puede aplicarse tanto sobre la piel limpia como sobre el maquillaje. Lee también La argentina está viviendo uno de los momentos más dulces de su vida. Hace unos días, compartió con sus millones de 'followers' unas instantáneas en las que aparece celebrando el 38 cumpleaños de su marido, el futbolista Leo Messi, en compañía de familiares y amigos.",2025-07-02 08:34:46,es,WEB,,,,58731d029f4308dcf6c2a35933236122,,False,1,True,Influencer,Medium,False,"- The comment appears to be a sponsored/promotional piece about Rhode skin product
- Mentions specific Rhode product (Skin Glazing Mist) in detail
- Connects product to celebrity Hailey Bieber and Ant",[],False,,,
18045085808261330,"  rhode Peptide Lip Tint — The Clean Girl's Go-To Gloss Affiliate links below — I may earn a small commission (at no extra cost to you). Say hello to the Peptide Lip Tint from Hailey Bieber's skincare brand, rhode — the ultimate lip product for glowy, hydrated, minimalist beauty. This sheer tint delivers a wash of color + peptides for pillowy-soft lips, all wrapped in aesthetic packaging that belongs on your vanity. Clean, hydrating, and viral for a reason. Want to shop the exact tint or find affordable dupes that give the same clean girl energy? Tap below 💄 #rhodebeauty #peptideliptint #cleangirlaesthetic #minimalistmakeup #glowyskin #haileybieber #viralbeauty #pinterestbeauty #amazonfinds #affiliatedisclosure","rhode Peptide Lip Tint — The Clean Girl's Go-To Gloss Affiliate links below — I may earn a small commission (at no extra cost to you). Say hello to the Peptide Lip Tint from Hailey Bieber's skincare brand, rhode — the ultimate lip product for glowy, hydrated, minimalist beauty. This sheer tint delivers a wash of color + peptides for pillowy-soft lips, all wrapped in aesthetic packaging that belongs on your vanity. Clean, hydrating, and viral for a reason. Want to shop the exact tint or find affordable dupes that give the same clean girl energy? Tap below",2025-07-02 11:50:09,en,INSTAGRAM,rhodebeauty|peptideliptint|cleangirlaesthetic|minimalistmakeup|glowyskin|haileybieber|viralbeauty|pinterestbeauty|amazonfinds|affiliatedisclosure,,💄,fec7ae048b84e43b99d2fed0b70f5208,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present, including:
- Explicit affiliate link disclosure
- Detailed product description
- Multiple promotional hashtags
- Call to action to ""shop"" and ""tap below",[],False,,,
18047424446202606,  ATENCIÓN Bbys PROMOCIÓN‼️ 2 LIP TINT RHODE💋 ➡ $12.990✨ #rhode #rhodeliptint #rhodelip #girl #lovemakeup #liptintrhode #tiendaviñadelmar #tiendaonline #lovemakeup❤,ATENCIÓN Bbys PROMOCIÓN 2 LIP TINT RHODE $12.990,2025-07-02 15:39:39,es,INSTAGRAM,rhode|rhodeliptint|rhodelip|girl|lovemakeup|liptintrhode|tiendaviñadelmar|tiendaonline|lovemakeup,,💋‼️❤✨➡,53ac0f9fb6cc121f2223470bae45a3ec,,False,1,True,Affiliate,High,False,"The comment contains multiple strong promotional indicators:
- Explicit price promotion (""2 LIP TINT RHODE ➡",[],False,,,
1940471019770458231,  Hailey Bieber is cool for the summer in new Rhode campaign. https://t.co/3yehvEfRsW,Hailey Bieber is cool for the summer in new Rhode campaign.,2025-07-02 18:01:57,en,TWITTER,,,,7f88fba5c786b2e7924dcc0dc322c1c9,,False,1,True,Influencer,Medium,False,"- Direct reference to Rhode campaign featuring Hailey Bieber
- Includes a shortened URL (potential campaign link)
- Mentions Hailey Bieber in context of brand campaign
- Appears to be highlighting a n",[],False,,,
1940537254235328683,"  Hailey Bieber talks about the peptide lip treatments and tints' improved formula. Post by Rhode via Instagram Story : https://t.co/l45Wpwgq9b (July 2nd, 2025) https://t.co/MIVfEbTyCi","Hailey Bieber talks about the peptide lip treatments and tints' improved formula. Post by Rhode via Instagram Story : (July 2nd, 2025)",2025-07-02 22:25:09,en,TWITTER,,,,d3cedb269acb1662b99286cf3960bbca,cluster_56,True,2,True,Brand_Official,Medium,False,"- Direct reference to Rhode brand product (peptide lip treatments)
- Mentions a specific brand post from Instagram Story
- Appears to be sharing official brand communication about product updates
- Co",[],False,,,
1940537757161738456,"  Hailey Bieber talks about the peptide lip treatments and tints' improved formula. Post by Rhode via Instagram Story : https://t.co/mfemwc4gAY (July 2nd, 2025) https://t.co/UH9ezDfPgx","Hailey Bieber talks about the peptide lip treatments and tints' improved formula. Post by Rhode via Instagram Story : (July 2nd, 2025)",2025-07-02 22:27:09,en,TWITTER,,,,d3cedb269acb1662b99286cf3960bbca,cluster_56,False,2,True,Brand_Official,Medium,False,"- Direct reference to Rhode brand product (peptide lip treatments)
- Mentions a specific brand post from Instagram Story
- Appears to be sharing official brand communication about product updates
- Co",[],True,True,Medium,2.0446722507476807
348771361912090_1138591624978853,"  The queen of the food-inspired beauty trend—aka @haileybieber—has spoken: lemon yellow is the new butter yellow. “Butter yellow is played out. . respectfully,” she said in an Instagram story after teasing the launch of the new @rhode Lemontini Peptide Lip Treatment. Are we over butter yellow yet? Personally, we're torn. At the link in bio, more on the launch of Lemontini Peptide Lip Treatment. #haileybieber #rhode #butteryellow #lemontini","The queen of the food-inspired beauty trend—aka —has spoken: lemon yellow is the new butter yellow. “Butter yellow is played out. . respectfully,” she said in an Instagram story after teasing the launch of the new Lemontini Peptide Lip Treatment. Are we over butter yellow yet? Personally, we're torn. At the link in bio, more on the launch of Lemontini Peptide Lip Treatment.",2025-07-02 23:12:55,en,FACEBOOK,haileybieber|rhode|butteryellow|lemontini,haileybieber|rhode,,fa3bba868f36d748ae4e1615b6974612,,False,1,True,Influencer,High,True,"- Direct mention of Rhode brand product (Lemontini Peptide Lip Treatment)
- Uses brand hashtags (#rhode, #haileybieber)
- References specific product launch details
- Includes ""link in bio"" call-to-ac","['#rhode', '#haileybieber']",False,,,
