fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
17936691107922609,"  Ladies!! Your flawless look starts HERE ✨ Obsessed with that smooth, airbrushed finish? You need the Huda Beauty Easy Bake Powder in your life! Lightweight Long-lasting Perfect for ALL skin tones! Grab it now from Lien at a HOT discount Affordable. Authentic. 100% worth it! Watch the magic in action ⬆ Link in first comment! #HudaBeauty 💋 #MakeupGoals ✨ #FlawlessFinish 💨 #LienBeauty 🛍️ #BeautyOnABudget 💸 #AmazonFinds 🛒 #MakeupObsessed 😍 #GlowUp 🔥 #ViralMakeup","Ladies!! Your flawless look starts HERE Obsessed with that smooth, airbrushed finish? You need the Huda Beauty Easy Bake Powder in your life! Lightweight Long-lasting Perfect for ALL skin tones! Grab it now from Lien at a HOT discount Affordable. Authentic. 100% worth it! Watch the magic in action Link in first comment!",2025-07-01 17:15:28,en,INSTAGRAM,HudaBeauty|MakeupGoals|FlawlessFinish|LienBeauty|BeautyOnABudget|AmazonFinds|MakeupObsessed|GlowUp|ViralMakeup,,💸✨🛍️💋💨🔥⬆🛒😍,59ef8c5fb39c501507ce8d1c59faadec,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present, including:
- Direct product recommendation
- Specific product name (Easy Bake Powder)
- Sales-driven language (""Grab it now"")
- Multiple branded and pro",[],False,,,
18007952813606280,"  OMG you guys!! I just tried the Huda Beauty Blush Filter and it seriously looks like a real-life filter on your cheeks! ✨ Super smooth, super glowy, and blends like a dream And the best part? It's only $21 right now on Amazon! Deal ends July 20th — don't miss it! Click the link below to shop before it's gone ✨ [Insert your Amazon link here] Link is also in the first comment! Trust me, this is the blush everyone's talking about Tag a friend who needs this glow-up #hudabeauty #blushfilter #makeupfinds #amazonmusthaves #viralbeauty #liquidblush #beautytok #makeuptok #under30 #hudablush #amazonbeauty #makeupdeal #dupealert #glowup #beautyhacks","OMG you guys!! I just tried the Huda Beauty Blush Filter and it seriously looks like a real-life filter on your cheeks! Super smooth, super glowy, and blends like a dream And the best part? It's only $21 right now on Amazon! Deal ends July 20th — don't miss it! Click the link below to shop before it's gone [Insert your Amazon link here] Link is also in the first comment! Trust me, this is the blush everyone's talking about Tag a friend who needs this glow-up",2025-07-01 19:50:03,en,INSTAGRAM,hudabeauty|blushfilter|makeupfinds|amazonmusthaves|viralbeauty|liquidblush|beautytok|makeuptok|under30|hudablush|amazonbeauty|makeupdeal|dupealert|glowup|beautyhacks,,✨,d283fbae0d251ad69956bb592e857b72,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present, including:
- Explicit product recommendation
- Direct sales call (""Click the link below to shop"")
- Specific pricing and time-limited offer
- Multiple m","['Promotional Phrases:', '- ""don\'t miss it!""', '- ""Click the link below to shop""', '- ""Deal ends July 20th""', 'Marketing Hashtags:']",False,,,
18067971431025024,"  You guys!! I just tried the Huda Beauty Easy Bake Loose Powder and I'm obsessed! It smooths, sets, and blurs your makeup like a dream — perfect for that flawless, filter-like finish 💫✨ And guess what? There's a special limited-time discount available now on Amazon! Only until July 20th, so don't miss your chance to grab it Tap the link below to shop the deal ✨ https://amzn.to/3GoyMkX https://amzn.to/4nreSXf Link is also in the first comment! Trust me, this one's a makeup bag essential Tag a beauty bestie who needs that airbrushed finish! #hudabeauty #easybakepowder #settingpowder #loosepowder #flawlessfinish #BeautyTok #makeuptok #amazonfinds #secretbeaute #GlowUp #amazonbeauty #limiteddeal #beautysteals #hudapowder #under30finds #softmatte #airbrushedlook Huda Beauty Huda","You guys!! I just tried the Huda Beauty Easy Bake Loose Powder and I'm obsessed! It smooths, sets, and blurs your makeup like a dream — perfect for that flawless, filter-like finish And guess what? There's a special limited-time discount available now on Amazon! Only until July 20th, so don't miss your chance to grab it Tap the link below to shop the deal Link is also in the first comment! Trust me, this one's a makeup bag essential Tag a beauty bestie who needs that airbrushed finish! Huda Beauty Huda",2025-07-02 16:56:14,en,INSTAGRAM,hudabeauty|easybakepowder|settingpowder|loosepowder|flawlessfinish|BeautyTok|makeuptok|amazonfinds|secretbeaute|GlowUp|amazonbeauty|limiteddeal|beautysteals|hudapowder|under30finds|softmatte|airbrushedlook,,💫✨,265ab28a677680065a081eb88d590049,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Contains Amazon affiliate links (amzn.to)
- Explicit call-to-action to ""Tap the link below to shop""
- Mentions a ""limited-time discount""
- Uses multip",[],False,,,
18064618724149500,  a lil casual outfit + helllla accessories 💁🏻‍♀ Outfit: hm top and belt winners rewashbrand jeans kitseyecare sunglasses amazonca purse maisonfranciskurkdjian Oud Silk Mood bypavoi dainty gold necklace and bracelet cartier bracelet and earrings coach dual toned watch Makeup: milkmakeup MILK MAKEUP - Hydro Grip Hydrating Makeup Primer with Hyaluronic Acid + Niacinamide livetinted Live Tinted - Hueglow Liquid Highlighter Drops kosas Kosas - Revealer Super Creamy + Brightening Concealer with Caffeine and Hyaluronic Acid makeupforever MAKE UP FOR EVER - HD Skin Face Essentials – Longwear Full Face Cream Palette nyxcosmetics_canada Tinted Brow Gel kyliecosmetics Skin Tint and Setting Powder hudabeauty HUDA BEAUTY - Blush Filter Soft Glow Liquid Blush covergirl Outlast Lipstain hourglasscosmetics Hourglass - Ambient® Lighting Palette - Evil Eye milanicosmetics Make It Last Setting Spray urbandecaycosmetics Urban Decay - All Nighter Waterproof Makeup Setting Spray rhode Lip Peptide Treatment #fyp #explore #makeup #lifestyle #grwm,a lil casual outfit + helllla accessories Outfit: hm top and belt winners rewashbrand jeans kitseyecare sunglasses amazonca purse maisonfranciskurkdjian Oud Silk Mood bypavoi dainty gold necklace and bracelet cartier bracelet and earrings coach dual toned watch Makeup: milkmakeup MILK MAKEUP - Hydro Grip Hydrating Makeup Primer with Hyaluronic Acid + Niacinamide livetinted Live Tinted - Hueglow Liquid Highlighter Drops kosas Kosas - Revealer Super Creamy + Brightening Concealer with Caffeine and Hyaluronic Acid makeupforever MAKE UP FOR EVER - HD Skin Face Essentials – Longwear Full Face Cream Palette nyxcosmetics_canada Tinted Brow Gel kyliecosmetics Skin Tint and Setting Powder hudabeauty HUDA BEAUTY - Blush Filter Soft Glow Liquid Blush covergirl Outlast Lipstain hourglasscosmetics Hourglass - Ambient Lighting Palette - Evil Eye milanicosmetics Make It Last Setting Spray urbandecaycosmetics Urban Decay - All Nighter Waterproof Makeup Setting Spray rhode Lip Peptide Treatment,2025-07-03 13:59:56,en,INSTAGRAM,fyp|explore|makeup|lifestyle|grwm,,💁🏻‍♀®,48be91d4ce32295669288f4a0b110b6f,,False,1,True,Influencer,Medium,False,"The comment appears to be a detailed ""Get Ready With Me"" (GRWM) style post with multiple brand mentions, including Huda Beauty. While not a direct sales pitch, it functions as soft promotional content",[],False,,,
yhzdwHCjuFQ,"  The Remarkable Journey of Huda Beauty Discover the inspiring story behind Huda Beauty, the brand that transformed the cosmetics industry. #HudaKattan #HudaBeauty ...","The Remarkable Journey of Huda Beauty Discover the inspiring story behind Huda Beauty, the brand that transformed the cosmetics industry. ...",2025-07-04 00:01:09,en,YOUTUBE,HudaKattan|HudaBeauty,,,374df8eaa36aa8c381a8d40aa401c95d,,False,1,True,Brand_Official,High,False,"- Contains brand-specific hashtags (#HudaKattan, #HudaBeauty)
- Uses marketing language like ""Remarkable Journey""
- Appears to be a promotional narrative about the brand's origin
- Reads like a carefu","['#HudaKattan', '#HudaBeauty']",False,,,
18176398654328774,"  Viral for a Reason: Must-Have Makeup Drop! ❤ ♡ ♡ ♡ ♡ ♡ Huda Beauty Faux Filler Ultra-Hydrating Tinted Jelly Lip Balm - Juicy Goji LANEIGE Glaze Craze Tinted Lip Serum - Cinnamon Sugar LOreal Paris Infallible 24H Lightweight Tinted Serum Foundation Charlotte Tilbury Unreal Blush Stick - Rosy Glow Westside Bag Charm { Propaganda, Viral makeup, Worth it, New launch, Amazing products, Makeup aesthetic } #makeuplover #bagcharm #propaganda #viralmakeup #newlaunch #makeup #blush #lipgloss #makeuplover #blushlover #aesthetic #virałpost #trending #treandingnow","Viral for a Reason: Must-Have Makeup Drop! ♡ ♡ ♡ ♡ ♡ Huda Beauty Faux Filler Ultra-Hydrating Tinted Jelly Lip Balm - Juicy Goji LANEIGE Glaze Craze Tinted Lip Serum - Cinnamon Sugar LOreal Paris Infallible 24H Lightweight Tinted Serum Foundation Charlotte Tilbury Unreal Blush Stick - Rosy Glow Westside Bag Charm { Propaganda, Viral makeup, Worth it, New launch, Amazing products, Makeup aesthetic }",2025-07-04 10:50:03,en,INSTAGRAM,makeuplover|bagcharm|propaganda|viralmakeup|newlaunch|makeup|blush|lipgloss|makeuplover|blushlover|aesthetic|virałpost|trending|treandingnow,,❤,77d89e75dd1cde5a0865a778e72b9c0b,,False,1,True,Influencer,High,False,"The comment contains multiple strong promotional indicators:
- Multiple product mentions across brands
- Viral/trending hashtags (#viralmakeup, #newlaunch)
- Descriptive product language (""Must-Have"",","['#viralmakeup', '#newlaunch']",False,,,
18349405069082030,"  Budget Beauty Wins Found the closest dupe of HUDA Beuaty's PAYDAY and that too for ₹200!!!! Isn't that great. Comment 'LINK' for #liptint #hudabeauty #tintedlipbalm #lipstick #brownlipstick #lipgloss #makeupdupes #beauty #lips #lipcombo #fypy #explorepage✨ #softgirlaesthetic #fyp #lipswatches #trendingmakeup #pinteresty #indianbeautyproducts #amazonfinds #foryoupage #relatable {lip balms, tinted lip balm, lipstick under 200, huda beauty dupe, lip swatches,lip gloss, lipstick, lip combo ,affordable liptint, lip oil, daily wear lip balm ,makeup goals , college going lipstick ,explorepage, for you page , lipstick for all Indian skintone, lipstick lover, budgetfriendly lipstick ,relatable}","Budget Beauty Wins Found the closest dupe of HUDA Beuaty's PAYDAY and that too for ₹200!!!! Isn't that great. Comment 'LINK' for {lip balms, tinted lip balm, lipstick under 200, huda beauty dupe, lip swatches,lip gloss, lipstick, lip combo ,affordable liptint, lip oil, daily wear lip balm ,makeup goals , college going lipstick ,explorepage, for you page , lipstick for all Indian skintone, lipstick lover, budgetfriendly lipstick ,relatable}",2025-07-06 11:53:41,en,INSTAGRAM,liptint|hudabeauty|tintedlipbalm|lipstick|brownlipstick|lipgloss|makeupdupes|beauty|lips|lipcombo|fypy|explorepage|softgirlaesthetic|fyp|lipswatches|trendingmakeup|pinteresty|indianbeautyproducts|amazonfinds|foryoupage|relatable,,✨,833e6ad4f1ea3749743b19f0265dccc6,,False,1,True,Affiliate,Medium,False,"The comment exhibits strong promotional characteristics:
- Multiple branded hashtags (#hudabeauty, #lipstint)
- Excessive hashtag usage typical of promotional content
- Explicit product comparison to ","['#hudabeauty', '#lipstint']",False,,,
17978616488854828,"  She's soft, she's sweet, and she's baked to perfection 🍒🌸 The Huda Beauty Baby Bakes in Cherry Blossom Cake is a total blur queen 👑✨ Say hello to filter-free glam! #HudaBeauty #BabyBakes #CherryBlossomCake #BlurringPowder #FlawlessFinish #MakeupBaking #BeautyTokFavs #SoftGlamGoals #SettingPowderPerfection #MakeupMansion #ViralMakeup2025 #InstaBeautyTrend #beautyreels #viralmakeup #makeupbyme #makeupreels #beautyinfluencer #makeupaddict #viralbeauty #trendingnow #beautytok #grwm","She's soft, she's sweet, and she's baked to perfection The Huda Beauty Baby Bakes in Cherry Blossom Cake is a total blur queen Say hello to filter-free glam!",2025-07-06 13:06:14,en,INSTAGRAM,HudaBeauty|BabyBakes|CherryBlossomCake|BlurringPowder|FlawlessFinish|MakeupBaking|BeautyTokFavs|SoftGlamGoals|SettingPowderPerfection|MakeupMansion|ViralMakeup2025|InstaBeautyTrend|beautyreels|viralmakeup|makeupbyme|makeupreels|beautyinfluencer|makeupaddict|viralbeauty|trendingnow|beautytok|grwm,,🌸🍒👑✨,02da679baedfe0e835e5a9b88bd1c086,,False,1,True,Influencer,High,False,"The comment contains multiple strong promotional indicators:
- Multiple branded hashtags specific to Huda Beauty (#HudaBeauty, #BabyBakes)
- Product-specific language describing a new product (Baby Ba","['#HudaBeauty', '#BabyBakes']",False,,,
1942588053366751320,  HUDA GIRL Beauty Rose Gold Remastered + Nude Edition Eyeshadow Palette Combo Kit - 36 Matte and Shimmer Finishes Deal Price : ₹299 Link : https://t.co/nGi1W1w2ld,HUDA GIRL Beauty Rose Gold Remastered + Nude Edition Eyeshadow Palette Combo Kit - 36 Matte and Shimmer Finishes Deal Price : ₹299 Link :,2025-07-08 14:14:18,en,TWITTER,,,,e5004111e49544afab190a16490af737,,False,1,True,Affiliate,High,True,"Contains multiple strong promotional indicators including:
- Specific product details (Huda Beauty Rose Gold Remastered Palette)
- Explicit pricing information
- Direct purchase link
- Detailed produc",[],False,,,
17842605669534867,"  ✨ HUDA'S LOVE ISLAND SEASON 7 MAKEUP LOOK ✨ Obsessed with Huda Mustafa's effortlessly gorgeous soft glam from the villa? Same! Her perfectly shaped brows, subtle eyeliner, natural freckles, and defined lip liner had us all taking notes The key products you need from Amazon: 🏹 Brow pencil for perfect arches 🌿 Brow gel to set them in place 👁️ Eyeliner for subtle definition ☀️ Freckle pen for that summer glow 💋 Lip liner for perfectly defined lips This look is perfect for: 🌅 Date nights 🌴 Summer parties ☀️ Everyday glow-up 🏝️ Vacation vibes I've found the exact Amazon products that give you that same natural, camera-ready finish! The secret is in mastering these 5 essential steps ✨ Who else was inspired by Huda's beauty game on Love Island? Drop a 🔥 if you're trying this look! Link in my bio #HudaLoveIsland #LoveIslandSeason7 #HudaMustafa #SoftGlamMakeup #LoveIslandBeauty #MakeupTutorial #BrowTutorial #FrecklesMakeup #AmazonMakeup #SoftGlam #LoveIslandMakeup #GlowUp #MakeupInspo #DateNightMakeup #SummerGlam #BeautyTips #MakeupHacks #LoveIslandStyle","HUDA'S LOVE ISLAND SEASON 7 MAKEUP LOOK Obsessed with Huda Mustafa's effortlessly gorgeous soft glam from the villa? Same! Her perfectly shaped brows, subtle eyeliner, natural freckles, and defined lip liner had us all taking notes The key products you need from Amazon: Brow pencil for perfect arches Brow gel to set them in place Eyeliner for subtle definition Freckle pen for that summer glow Lip liner for perfectly defined lips This look is perfect for: Date nights Summer parties Everyday glow-up Vacation vibes I've found the exact Amazon products that give you that same natural, camera-ready finish! The secret is in mastering these 5 essential steps Who else was inspired by Huda's beauty game on Love Island? Drop a if you're trying this look! Link in my bio",2025-07-09 13:00:42,en,INSTAGRAM,HudaLoveIsland|LoveIslandSeason7|HudaMustafa|SoftGlamMakeup|LoveIslandBeauty|MakeupTutorial|BrowTutorial|FrecklesMakeup|AmazonMakeup|SoftGlam|LoveIslandMakeup|GlowUp|MakeupInspo|DateNightMakeup|SummerGlam|BeautyTips|MakeupHacks|LoveIslandStyle,,🌿☀️💋🌴🏹🔥🏝️👁️✨🌅,c905ff794ea296dd9414eb26e15af978,,False,1,True,Influencer,High,True,"Multiple strong promotional indicators are present:
- Explicit product recommendations with specific product suggestions
- ""Link in my bio"" call-to-action
- Multiple branded hashtags (#HudaLoveIsland,",['#HudaLoveIsland'],False,,,
